outer_resampling_id,resampling_id,gid,train_mse,test_mse
0,0,3,5.39581322699678e-06,0.0002985442650971
0,1,3,4.895808414060033e-06,0.0004665998428566
0,2,9,5.512577808539384e-06,0.0002041238560022
0,3,9,6.0920303835272976e-06,5.236719981092618e-06
0,4,9,6.106216461213361e-06,8.263563070267747e-08
0,5,3,4.878243521615802e-06,0.0004653882722833
0,6,9,5.734940029406778e-06,0.0001235047848836
0,7,9,5.635959496792121e-06,0.0001611227864634
0,8,9,5.897223357266797e-06,7.454566802879111e-05
0,9,9,6.106410115675764e-06,2.293203414370807e-08
0,10,3,5.394720249383433e-06,0.0003972397488901
0,11,9,6.091220773577544e-06,5.192944128345957e-06
0,12,9,5.945230852825349e-06,5.563844090670458e-05
0,13,9,5.5852679435341085e-06,0.0001826877222037
0,14,9,4.753657126841707e-06,0.0004830589254826
0,15,9,5.939906464412527e-06,7.202619178457896e-05
0,16,9,6.056559278758199e-06,2.156404316673225e-05
0,17,9,6.098472087969753e-06,3.4561625355101618e-06
0,18,9,6.0313512754077125e-06,3.2480777433609176e-05
1,0,3,5.39581322699678e-06,0.0001369207160215
1,1,3,4.388529973668627e-06,0.0004703276547643
1,2,3,5.014041938420799e-06,0.0002739745626814
1,3,3,5.81449332237871e-06,1.3267765270698383e-06
1,4,3,5.816147987913208e-06,6.219734718269095e-07
1,5,3,4.380454328215464e-06,0.0004659667920638
1,6,9,5.478480075910844e-06,0.0001263677582527
1,7,9,5.373710641498957e-06,0.0001660988537311
1,8,9,5.636591803716323e-06,7.913196127549993e-05
1,9,3,5.70739611288523e-06,4.34094117926184e-05
1,10,3,4.939384943133651e-06,0.0003800021220687
1,11,3,5.6986338114399945e-06,4.010616794215324e-05
1,12,9,5.705892364866548e-06,5.27024232567148e-05
1,13,9,5.354591802952916e-06,0.0001767494890055
1,14,9,4.53640619701911e-06,0.0004724608123411
1,15,9,5.693075207688911e-06,7.155600711891532e-05
1,16,3,5.756460773688579e-06,2.661499255306497e-05
