resampling_id,gid,train_mse,test_mse
0,9,5.480600466869219e-06,6.0438259541075344e-05
1,3,5.221755931513063e-06,0.0002978702658186
2,3,4.776025213076812e-06,0.0004648032857764
3,9,5.123591911869204e-06,0.0002005357137171
4,9,5.636336760501528e-06,4.455610282684464e-06
5,9,5.647138758204802e-06,8.333700831764281e-08
6,3,4.7561513072241935e-06,0.0004651078500487
7,9,5.318671008318221e-06,0.0001217319001471
8,9,5.23302556000032e-06,0.0001580569527827
9,9,5.466531156243963e-06,7.175397461271309e-05
10,9,5.647363234141863e-06,2.6508249606153892e-09
11,3,5.200782957372365e-06,0.0004058611356858
12,9,5.63499509826226e-06,4.69382826959097e-06
13,9,5.49771490163288e-06,5.752324545654828e-05
14,9,5.169729081518404e-06,0.0001864779243977
15,9,4.415716004387604e-06,0.0004898246160635
16,9,5.497262205077924e-06,7.232180372350408e-05
17,9,5.60267568173534e-06,2.151462423672726e-05
18,9,5.640237142516548e-06,3.433501843772354e-06
19,9,5.579554471474029e-06,3.2670578265040206e-05
