,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,1.0411676408160642e-05,0,,,0.001,13,13
0,9.950728455534019e-06,1,,,0.001,13,15
0,8.501197335569626e-06,2,,,0.001,13,23
0,5.454748298332208e-06,3,,,0.001,13,63
0,6.9893339837364675e-06,4,,,0.001,13,513
0,1.2319607440783727e-05,5,,,0.001,13,5013
0,7.667650512251707e-06,6,,,0.01,13,13
0,7.257150237566494e-06,7,,,0.01,13,15
0,6.230834522797381e-06,8,,,0.01,13,23
0,5.096751070484528e-06,9,,,0.01,13,63
0,6.7346968643654275e-06,10,,,0.01,13,513
0,9.862840300965728e-06,11,,,0.01,13,5013
0,1.1087048600643596e-05,12,,,0.1,13,13
0,1.09793674054208e-05,13,,,0.1,13,15
0,1.0662537603073102e-05,14,,,0.1,13,23
0,9.951325680506467e-06,15,,,0.1,13,63
0,8.668980516252937e-06,16,,,0.1,13,513
0,7.5931142806526985e-06,17,,,0.1,13,5013
0,1.1666083330932174e-05,18,,,0.2,13,13
0,1.1611161974772758e-05,19,,,0.2,13,15
0,1.1448388682414841e-05,20,,,0.2,13,23
0,1.1073501198958864e-05,21,,,0.2,13,63
0,1.0339387490193582e-05,22,,,0.2,13,513
0,9.616481711823012e-06,23,,,0.2,13,5013
0,1.188086679674842e-05,24,,,0.3,13,13
0,1.1845630399707991e-05,25,,,0.3,13,15
0,1.1740948331932723e-05,26,,,0.3,13,23
0,1.1497888574224217e-05,27,,,0.3,13,63
0,1.1010413586150353e-05,28,,,0.3,13,513
0,1.0509984939715647e-05,29,,,0.3,13,5013
0,1.1994584926667402e-05,30,,,0.4,13,13
0,1.1969673960209632e-05,31,,,0.4,13,15
0,1.1895567450567136e-05,32,,,0.4,13,23
0,1.1722772060042424e-05,33,,,0.4,13,63
0,1.1372215830003538e-05,34,,,0.4,13,513
0,1.1005489256283945e-05,35,,,0.4,13,5013
0,1.2066877379247957e-05,36,,,0.5,13,13
0,1.2048380450964503e-05,37,,,0.5,13,15
0,1.199330385592976e-05,38,,,0.5,13,23
0,1.1864533542754953e-05,39,,,0.5,13,63
0,1.1601495367310795e-05,40,,,0.5,13,513
0,1.1323333676017004e-05,41,,,0.5,13,5013
0,1.2118840859006083e-05,42,,,0.6,13,13
0,1.2104775699383481e-05,43,,,0.6,13,15
0,1.2062865974370795e-05,44,,,0.6,13,23
0,1.1964691156503374e-05,45,,,0.6,13,63
0,1.1763218048404445e-05,46,,,0.6,13,513
0,1.1548646541020913e-05,47,,,0.6,13,5013
0,1.2160051409317669e-05,48,,,0.7,13,13
0,1.2149304334433172e-05,49,,,0.7,13,15
0,1.2117263600792637e-05,50,,,0.7,13,23
0,1.2042095994831691e-05,51,,,0.7,13,63
0,1.1887308983462527e-05,52,,,0.7,13,513
0,1.1721615154124445e-05,53,,,0.7,13,5013
0,,54,,,0.8,13,13
0,,55,,,0.8,13,15
0,,56,,,0.8,13,23
0,,57,,,0.8,13,63
0,,58,,,0.8,13,513
0,,59,,,0.8,13,5013
0,,60,,,0.9,13,13
0,,61,,,0.9,13,15
0,,62,,,0.9,13,23
0,,63,,,0.9,13,63
0,,64,,,0.9,13,513
0,,65,,,0.9,13,5013
0,,66,,,0.99,13,13
0,,67,,,0.99,13,15
0,,68,,,0.99,13,23
0,,69,,,0.99,13,63
0,,70,,,0.99,13,513
0,,71,,,0.99,13,5013
0,,72,,,0.999,13,13
0,,73,,,0.999,13,15
0,,74,,,0.999,13,23
0,,75,,,0.999,13,63
0,,76,,,0.999,13,513
0,,77,,,0.999,13,5013
