outer_resampling_id,train_mse
0,1.3565568517112803e-05
1,1.2703141387977774e-05
2,1.1219669692895784e-05
3,1.0901880926281514e-05
4,1.2426276467195724e-05
5,1.4124125079272813e-05
6,1.3507191150648566e-05
7,1.3823498120042575e-05
8,1.3797710191809527e-05
9,1.4057913165613192e-05
10,1.3976945105570312e-05
11,1.236361549490802e-05
12,1.290370492098607e-05
13,1.3948016740467749e-05
14,1.4116625556126601e-05
15,1.36706196566212e-05
16,1.4066490666617184e-05
17,1.4055141850226679e-05
18,1.410329952163409e-05
19,1.4109174133765524e-05
