,time_step,stimulus,type,familiarity,novelty,n_fam,steady
0,0,0,fam,0.06666666666666667,2.70805020110221,1,9.22039001848995
1,1,1,fam,0.0006666666666666673,7.3132203870903005,1,9.22039001848995
2,2,2,fam,6.6666666666666785e-06,11.91839057307839,1,9.22039001848995
3,3,0,fam,9.906666666666685e-05,9.219717533788778,1,9.22039001848995
4,4,1,fam,9.900066666666685e-05,9.220383973845621,1,9.22039001848995
5,5,2,fam,9.900000666666685e-05,9.220390640489617,1,9.22039001848995
6,6,0,fam,9.900009906666684e-05,9.220389707156782,1,9.22039001848995
7,7,1,fam,9.900009900066684e-05,9.220389707823449,1,9.22039001848995
8,8,3,nov,6.6666666666667144e-18,39.54941168900693,1,9.22039001848995
9,9,0,fam,9.900009900009924e-05,9.220389707829181,1,9.22039001848995
10,10,1,fam,9.900009900009917e-05,9.220389707829183,1,9.22039001848995
11,11,2,fam,9.900009900000711e-11,23.035900265794385,1,9.22039001848995
12,12,0,fam,9.900009900009917e-05,9.220389707829183,1,9.22039001848995
13,13,1,fam,9.900009900009917e-05,9.220389707829183,1,9.22039001848995
14,14,2,fam,9.900000000009917e-05,9.220390707828683,1,9.22039001848995
0,0,0,fam,0.06666666666666667,2.70805020110221,3,9.220389707829183
1,1,1,fam,0.0006666666666666673,7.3132203870903005,3,9.220389707829183
2,2,2,fam,6.6666666666666785e-06,11.91839057307839,3,9.220389707829183
3,3,0,fam,9.906666666666685e-05,9.219717533788778,3,9.220389707829183
4,4,1,fam,9.900066666666685e-05,9.220383973845621,3,9.220389707829183
5,5,2,fam,9.900000666666685e-05,9.220390640489617,3,9.220389707829183
6,6,0,fam,9.900009906666684e-05,9.220389707156782,3,9.220389707829183
7,7,1,fam,9.900009900066684e-05,9.220389707823449,3,9.220389707829183
8,8,2,fam,9.900009900000685e-05,9.220389707830115,3,9.220389707829183
9,9,0,fam,9.900009900009924e-05,9.220389707829181,3,9.220389707829183
10,10,1,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
11,11,2,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
12,12,0,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
13,13,1,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
14,14,3,nov,6.66666666666675e-30,67.18043280493548,3,9.220389707829183
15,15,0,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
16,16,1,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
17,17,2,fam,9.900009900009942e-11,23.035900265793455,3,9.220389707829183
18,18,0,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
19,19,1,fam,9.900009900009917e-05,9.220389707829183,3,9.220389707829183
20,20,2,fam,9.900000000009917e-05,9.220390707828683,3,9.220389707829183
0,0,0,fam,0.06666666666666667,2.70805020110221,8,9.220389707829183
1,1,1,fam,0.0006666666666666673,7.3132203870903005,8,9.220389707829183
2,2,2,fam,6.6666666666666785e-06,11.91839057307839,8,9.220389707829183
3,3,0,fam,9.906666666666685e-05,9.219717533788778,8,9.220389707829183
4,4,1,fam,9.900066666666685e-05,9.220383973845621,8,9.220389707829183
5,5,2,fam,9.900000666666685e-05,9.220390640489617,8,9.220389707829183
6,6,0,fam,9.900009906666684e-05,9.220389707156782,8,9.220389707829183
7,7,1,fam,9.900009900066684e-05,9.220389707823449,8,9.220389707829183
8,8,2,fam,9.900009900000685e-05,9.220389707830115,8,9.220389707829183
9,9,0,fam,9.900009900009924e-05,9.220389707829181,8,9.220389707829183
10,10,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
11,11,2,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
12,12,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
13,13,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
14,14,2,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
15,15,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
16,16,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
17,17,2,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
18,18,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
19,19,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
20,20,2,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
21,21,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
22,22,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
23,23,2,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
24,24,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
25,25,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
26,26,2,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
27,27,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
28,28,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
29,29,3,nov,6.666666666666837e-60,136.25798559475683,8,9.220389707829183
30,30,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
31,31,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
32,32,2,fam,9.900009900009942e-11,23.035900265793455,8,9.220389707829183
33,33,0,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
34,34,1,fam,9.900009900009917e-05,9.220389707829183,8,9.220389707829183
35,35,2,fam,9.900000000009917e-05,9.220390707828683,8,9.220389707829183
0,0,0,fam,0.06666666666666667,2.70805020110221,18,9.220389707829183
1,1,1,fam,0.0006666666666666673,7.3132203870903005,18,9.220389707829183
2,2,2,fam,6.6666666666666785e-06,11.91839057307839,18,9.220389707829183
3,3,0,fam,9.906666666666685e-05,9.219717533788778,18,9.220389707829183
4,4,1,fam,9.900066666666685e-05,9.220383973845621,18,9.220389707829183
5,5,2,fam,9.900000666666685e-05,9.220390640489617,18,9.220389707829183
6,6,0,fam,9.900009906666684e-05,9.220389707156782,18,9.220389707829183
7,7,1,fam,9.900009900066684e-05,9.220389707823449,18,9.220389707829183
8,8,2,fam,9.900009900000685e-05,9.220389707830115,18,9.220389707829183
9,9,0,fam,9.900009900009924e-05,9.220389707829181,18,9.220389707829183
10,10,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
11,11,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
12,12,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
13,13,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
14,14,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
15,15,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
16,16,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
17,17,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
18,18,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
19,19,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
20,20,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
21,21,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
22,22,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
23,23,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
24,24,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
25,25,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
26,26,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
27,27,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
28,28,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
29,29,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
30,30,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
31,31,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
32,32,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
33,33,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
34,34,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
35,35,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
36,36,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
37,37,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
38,38,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
39,39,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
40,40,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
41,41,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
42,42,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
43,43,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
44,44,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
45,45,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
46,46,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
47,47,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
48,48,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
49,49,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
50,50,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
51,51,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
52,52,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
53,53,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
54,54,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
55,55,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
56,56,2,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
57,57,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
58,58,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
59,59,3,nov,6.666666666667015e-120,274.41309117439954,18,9.220389707829183
60,60,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
61,61,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
62,62,2,fam,9.900009900009942e-11,23.035900265793455,18,9.220389707829183
63,63,0,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
64,64,1,fam,9.900009900009917e-05,9.220389707829183,18,9.220389707829183
65,65,2,fam,9.900000000009917e-05,9.220390707828683,18,9.220389707829183
0,0,0,fam,0.06666666666666667,2.70805020110221,38,9.220389707829183
1,1,1,fam,0.0006666666666666673,7.3132203870903005,38,9.220389707829183
2,2,2,fam,6.6666666666666785e-06,11.91839057307839,38,9.220389707829183
3,3,0,fam,9.906666666666685e-05,9.219717533788778,38,9.220389707829183
4,4,1,fam,9.900066666666685e-05,9.220383973845621,38,9.220389707829183
5,5,2,fam,9.900000666666685e-05,9.220390640489617,38,9.220389707829183
6,6,0,fam,9.900009906666684e-05,9.220389707156782,38,9.220389707829183
7,7,1,fam,9.900009900066684e-05,9.220389707823449,38,9.220389707829183
8,8,2,fam,9.900009900000685e-05,9.220389707830115,38,9.220389707829183
9,9,0,fam,9.900009900009924e-05,9.220389707829181,38,9.220389707829183
10,10,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
11,11,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
12,12,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
13,13,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
14,14,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
15,15,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
16,16,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
17,17,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
18,18,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
19,19,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
20,20,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
21,21,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
22,22,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
23,23,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
24,24,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
25,25,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
26,26,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
27,27,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
28,28,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
29,29,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
30,30,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
31,31,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
32,32,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
33,33,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
34,34,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
35,35,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
36,36,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
37,37,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
38,38,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
39,39,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
40,40,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
41,41,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
42,42,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
43,43,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
44,44,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
45,45,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
46,46,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
47,47,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
48,48,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
49,49,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
50,50,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
51,51,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
52,52,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
53,53,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
54,54,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
55,55,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
56,56,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
57,57,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
58,58,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
59,59,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
60,60,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
61,61,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
62,62,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
63,63,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
64,64,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
65,65,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
66,66,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
67,67,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
68,68,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
69,69,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
70,70,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
71,71,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
72,72,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
73,73,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
74,74,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
75,75,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
76,76,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
77,77,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
78,78,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
79,79,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
80,80,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
81,81,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
82,82,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
83,83,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
84,84,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
85,85,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
86,86,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
87,87,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
88,88,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
89,89,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
90,90,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
91,91,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
92,92,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
93,93,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
94,94,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
95,95,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
96,96,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
97,97,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
98,98,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
99,99,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
100,100,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
101,101,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
102,102,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
103,103,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
104,104,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
105,105,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
106,106,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
107,107,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
108,108,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
109,109,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
110,110,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
111,111,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
112,112,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
113,113,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
114,114,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
115,115,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
116,116,2,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
117,117,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
118,118,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
119,119,3,nov,6.666666666667372e-240,550.723302333685,38,9.220389707829183
120,120,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
121,121,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
122,122,2,fam,9.900009900009942e-11,23.035900265793455,38,9.220389707829183
123,123,0,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
124,124,1,fam,9.900009900009917e-05,9.220389707829183,38,9.220389707829183
125,125,2,fam,9.900000000009917e-05,9.220390707828683,38,9.220389707829183
