outer_resampling_id,train_mse,test_mse
0,2.099150304400116e-06,7.393687282313132e-05
1,1.9304864935959538e-06,6.531736157680186e-05
2,1.7827142088989383e-06,3.831748584083613e-05
3,2.063011896096796e-06,6.60563795830659e-05
4,2.2828157785197443e-06,9.867853739998895e-05
5,2.2988711057526534e-06,8.543910605867194e-05
6,1.8418013681301928e-06,9.571516298627429e-05
7,2.259270163482968e-06,0.00010998506663906591
8,2.256505760995144e-06,0.00010560326893404734
9,2.2382739239109206e-06,0.00011141698879871586
10,2.2309329183246833e-06,9.233853615834718e-05
11,2.1949628826328276e-06,8.3506101523975e-05
12,2.249502461377021e-06,0.00010860540126455492
13,2.1929103963775453e-06,9.770182107611444e-05
14,2.1988097697796733e-06,0.00010059662510310164
15,2.1123044090792673e-06,9.661995056697277e-05
16,1.6446969453750022e-06,5.115843773254655e-05
17,2.2551279237896024e-06,0.00010109056661719123
18,2.2891083405147652e-06,9.995534496686059e-05
19,2.1314984888158074e-06,9.602695683522385e-05
