resampling_id,gid,train_mse,test_mse
0,323,2.021685573639792e-06,6.976170959222177e-05
1,323,1.8442864595633643e-06,0.0001350334695631
2,323,1.6967730517966954e-06,0.0001932444245395
3,323,1.9768346792472904e-06,9.223647248603732e-05
4,323,2.2093383333278058e-06,2.043226398323942e-06
5,323,2.213379109635297e-06,3.515264911664921e-07
6,317,1.8455580033591788e-06,0.0002218746960544
7,323,2.213136364821863e-06,4.676194549589471e-07
8,323,2.2143151008869048e-06,1.517471421036142e-08
9,323,2.2107735688526555e-06,1.4846437556610696e-06
10,323,2.1635775436344064e-06,2.14250036930249e-05
11,323,2.1241105814347755e-06,3.853878914080173e-05
12,323,2.2091127853778595e-06,2.005620178580237e-06
13,323,2.164664903524357e-06,1.877260391875715e-05
14,323,2.1793299379290856e-06,1.3098407080895987e-05
15,317,2.074694345782861e-06,0.0001448701054145
16,419,1.5797479564400802e-06,0.0005948599554145
17,323,2.1780233728418625e-06,1.748926981217164e-05
18,323,2.211964965295184e-06,1.1496619782410873e-06
19,323,2.1003623355912367e-06,5.495810543169021e-05
