,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,2.0014546822612353e-05,0,0.0,1e-06,,13,13
0,2.0014546812986033e-05,1,0.0,1e-06,,13,15
0,2.0014546774480817e-05,2,0.0,1e-06,,13,23
0,2.0014546581955947e-05,3,0.0,1e-06,,13,63
0,2.0014544416194846e-05,4,0.0,1e-06,,13,513
0,2.0014522773081018e-05,5,0.0,1e-06,,13,5013
0,1.9607808608051733e-05,6,0.0,1e-05,,13,13
0,1.960780849568949e-05,7,0.0,1e-05,,13,15
0,1.9607808046246543e-05,8,0.0,1e-05,,13,23
0,1.960780579917612e-05,9,0.0,1e-05,,13,63
0,1.9607780536195753e-05,10,0.0,1e-05,,13,513
0,1.9607529566599957e-05,11,0.0,1e-05,,13,5013
0,1.904837721588554e-05,12,0.0,0.0001,,13,13
0,1.9048375873459735e-05,13,0.0,0.0001,,13,15
0,1.9048370504463326e-05,14,0.0,0.0001,,13,23
0,1.904834367643117e-05,15,0.0,0.0001,,13,63
0,1.904804379266355e-05,16,0.0,0.0001,,13,513
0,1.904522603751758e-05,17,0.0,0.0001,,13,5013
0,1.8233243825360218e-05,18,0.0,0.001,,13,13
0,1.8233227372971674e-05,19,0.0,0.001,,13,15
0,1.8233161647576665e-05,20,0.0,0.001,,13,23
0,1.823283502473995e-05,21,0.0,0.001,,13,63
0,1.822937409144372e-05,22,0.0,0.001,,13,513
0,1.8207031610409237e-05,23,0.0,0.001,,13,5013
0,1.6946918797204904e-05,24,0.0,0.01,,13,13
0,1.6946717242662266e-05,25,0.0,0.01,,13,15
0,1.6945920478288644e-05,26,0.0,0.01,,13,23
0,1.6942147259122683e-05,27,0.0,0.01,,13,63
0,1.6913552065943035e-05,28,0.0,0.01,,13,513
0,1.6826301426833578e-05,29,0.0,0.01,,13,5013
0,1.4690703964349934e-05,30,0.0,0.1,,13,13
0,1.468870931982202e-05,31,0.0,0.1,,13,15
0,1.4681277465409566e-05,32,0.0,0.1,,13,23
0,1.465224230887221e-05,33,0.0,0.1,,13,63
0,1.4510660779530395e-05,34,0.0,0.1,,13,513
0,1.4333925673921016e-05,35,0.0,0.1,,13,5013
0,1.367851048771881e-05,36,0.0,0.2,,13,13
0,1.3674916954365998e-05,37,0.0,0.2,,13,15
0,1.366171744322021e-05,38,0.0,0.2,,13,23
0,1.361082005545806e-05,39,0.0,0.2,,13,63
0,1.3393349547962034e-05,40,0.0,0.2,,13,513
0,1.3224246618698625e-05,41,0.0,0.2,,13,5013
0,1.2987751154975332e-05,42,0.0,0.3,,13,13
0,1.2982675313010216e-05,43,0.0,0.3,,13,15
0,1.2963960851670206e-05,44,0.0,0.3,,13,23
0,1.2891294461266235e-05,45,0.0,0.3,,13,63
0,1.2623037944523667e-05,46,0.0,0.3,,13,513
0,1.2467635397203878e-05,47,0.0,0.3,,13,5013
0,1.24487783686005e-05,48,0.0,0.4,,13,13
0,1.2442188686718543e-05,49,0.0,0.4,,13,15
0,1.2417743427630053e-05,50,0.0,0.4,,13,23
0,1.2323317443137447e-05,51,0.0,0.4,,13,63
0,1.2019774204395593e-05,52,0.0,0.4,,13,513
0,1.1876837899712065e-05,53,0.0,0.4,,13,5013
0,1.2001425738872498e-05,54,0.0,0.5,,13,13
0,1.1993242256884875e-05,55,0.0,0.5,,13,15
0,1.1962778215022525e-05,56,0.0,0.5,,13,23
0,1.1847082665635053e-05,57,0.0,0.5,,13,63
0,1.1518462572465399e-05,58,0.0,0.5,,13,513
0,1.1386129138576915e-05,59,0.0,0.5,,13,5013
0,1.1616512461715321e-05,60,0.0,0.6,,13,13
0,1.160664817264386e-05,61,0.0,0.6,,13,15
0,1.1569924020408639e-05,62,0.0,0.6,,13,23
0,1.1433802876150648e-05,63,0.0,0.6,,13,63
0,1.1087166320911388e-05,64,0.0,0.6,,13,513
0,1.0963805980563667e-05,65,0.0,0.6,,13,5013
0,1.1277413041368415e-05,66,0.0,0.7,,13,13
0,1.1265790126783562e-05,67,0.0,0.7,,13,15
0,1.122263966332851e-05,68,0.0,0.7,,13,23
0,1.1067139132789072e-05,69,0.0,0.7,,13,63
0,1.0707551234566164e-05,70,0.0,0.7,,13,513
0,1.059184834983884e-05,71,0.0,0.7,,13,5013
0,1.0973654705125928e-05,72,0.0,0.8,,13,13
0,1.0960210082883893e-05,73,0.0,0.8,,13,15
0,1.0910541197204228e-05,74,0.0,0.8,,13,23
0,1.073680354946982e-05,75,0.0,0.8,,13,63
0,1.036800221549156e-05,76,0.0,0.8,,13,513
0,1.0258907787513216e-05,77,0.0,0.8,,13,5013
0,1.069816730005769e-05,78,0.0,0.9,,13,13
0,1.068285361384435e-05,79,0.0,0.9,,13,15
0,1.0626638406900633e-05,80,0.0,0.9,,13,23
0,1.0435834953968054e-05,81,0.0,0.9,,13,63
0,1.0060640496889897e-05,82,0.0,0.9,,13,513
0,9.957313541018521e-06,83,0.0,0.9,,13,5013
0,1.0445928325424838e-05,84,0.0,1.0,,13,13
0,1.0428713045405702e-05,85,0.0,1.0,,13,15
0,1.0365976338515545e-05,86,0.0,1.0,,13,23
0,1.0159266805082688e-05,87,0.0,1.0,,13,63
0,9.779845078187755e-06,88,0.0,1.0,,13,513
0,9.681604082238564e-06,89,0.0,1.0,,13,5013
0,6.397052529330881e-06,90,0.0,5.0,,13,13
0,6.327188312019614e-06,91,0.0,5.0,,13,15
0,6.1251338352517255e-06,92,0.0,5.0,,13,23
0,5.761034443690792e-06,93,0.0,5.0,,13,63
0,5.505544574138115e-06,94,0.0,5.0,,13,513
0,5.471087995450021e-06,95,0.0,5.0,,13,5013
0,5.452217201730383e-06,96,0.0,10.0,,13,13
0,5.373209186807933e-06,97,0.0,10.0,,13,15
0,5.172101119186051e-06,98,0.0,10.0,,13,23
0,4.896278568993994e-06,99,0.0,10.0,,13,63
0,4.7578073891526675e-06,100,0.0,10.0,,13,513
0,4.742021219731509e-06,101,0.0,10.0,,13,5013
0,5.83731379270527e-06,102,0.0,20.0,,13,13
0,5.777594740479501e-06,103,0.0,20.0,,13,15
0,5.645440666022125e-06,104,0.0,20.0,,13,23
0,5.510920605121774e-06,105,0.0,20.0,,13,63
0,5.466865037178444e-06,106,0.0,20.0,,13,513
0,5.4632126213126945e-06,107,0.0,20.0,,13,5013
0,8.006903430802473e-06,108,0.0,50.0,,13,13
0,7.986421266017352e-06,109,0.0,50.0,,13,15
0,7.954270569790736e-06,110,0.0,50.0,,13,23
0,7.950150521738994e-06,111,0.0,50.0,,13,63
0,7.966899581026494e-06,112,0.0,50.0,,13,513
0,7.9700800739069e-06,113,0.0,50.0,,13,5013
0,1.968187052082091e-05,114,0.001,1e-06,,13,13
0,1.96818705107638e-05,115,0.001,1e-06,,13,15
0,1.968187047053543e-05,116,0.001,1e-06,,13,23
0,1.968187026939486e-05,117,0.001,1e-06,,13,63
0,1.968186800671345e-05,118,0.001,1e-06,,13,513
0,1.968184539503509e-05,119,0.001,1e-06,,13,5013
0,1.9219670747219137e-05,120,0.001,1e-05,,13,13
