outer_resampling_id,train_mse
0,5.567854500054352e-06
1,6.268970124294097e-06
2,6.429046387517373e-06
3,6.21305993536989e-06
4,6.290892729097426e-06
5,6.468787777525584e-06
6,6.263936715847614e-06
7,6.441938593540565e-06
8,6.326599150461336e-06
9,6.12760845545578e-06
10,6.15954639596594e-06
11,6.140572905636718e-06
12,6.402515341360348e-06
13,6.356210889320353e-06
14,5.66761119061491e-06
15,5.835380900476817e-06
16,4.408076928479169e-06
17,6.435627449549889e-06
18,6.23254879509177e-06
19,5.7407186358312695e-06
