resampling_id,train_rss,train_mse,train_nmse
0,7.017773565412257e-05,3.6935650344275036e-06,0.008526292867219969
1,7.014187434126771e-05,3.691677596908827e-06,0.008184947707452208
2,6.991723736477907e-05,3.6798545981462665e-06,0.00798683744218953
3,6.828773536173989e-05,3.5940913348284153e-06,0.00780859618553491
4,6.919685166589965e-05,3.641939561363139e-06,0.007904659871035951
5,7.020172240691752e-05,3.694827495100922e-06,0.009623440545446466
6,6.284465623561862e-05,3.3076134860851902e-06,0.007335846927097626
7,6.803186771406697e-05,3.5806246165298403e-06,0.007832402367860264
8,6.954541635744917e-05,3.6602850714446932e-06,0.00794201022279445
9,6.731387687405279e-05,3.5428356249501468e-06,0.007708186993797613
10,6.770785333883843e-05,3.5635712283599173e-06,0.007748944369827415
11,6.747493310027067e-05,3.5513122684352985e-06,0.007724836352823639
12,6.693899382587578e-05,3.523104938203988e-06,0.0077356984664226835
13,6.840711259019679e-05,3.6003743468524626e-06,0.008061304818204964
14,6.47063774522781e-05,3.405598813277795e-06,0.007700933151071138
15,6.559621847921401e-05,3.4524325515375794e-06,0.007974234208679685
16,3.49862927006395e-05,1.8413838263494475e-06,0.0048891390001813044
17,6.836106210313685e-05,3.5979506370072024e-06,0.008848224019727874
18,6.849231733820797e-05,3.6048588072741034e-06,0.00948521350229246
19,6.002503458607377e-05,3.1592123466354613e-06,0.007991109584417008
