,time_step,stimulus,type,familiarity,novelty,n_im
0,0,0,fam,0.06666666666666667,2.70805020110221,3
1,1,1,fam,0.06153846153846154,2.7880929087757464,3
2,2,2,fam,0.05839416058394161,2.840539384148289,3
3,3,0,fam,0.09090909090909091,2.3978952727983707,3
4,4,1,fam,0.08876350375008601,2.4217797072704528,3
5,5,2,fam,0.0873208737502623,2.438165741048781,3
6,6,0,fam,0.09758740446698619,2.3270068464834472,3
7,7,1,fam,0.09682499006064155,2.334850156234138,3
8,8,2,fam,0.09629834961336847,2.3403040982961656,3
9,9,0,fam,0.09972602342543102,2.305328618767206,3
10,10,1,fam,0.09946194713659642,2.307980148804965,3
11,11,2,fam,0.09927792433647838,2.3098320454711603,3
12,12,0,fam,0.10044296590596187,2.2981652159972885,3
13,13,1,fam,0.1003521054016222,2.299070223375702,3
14,14,2,fam,0.10028860079544175,2.299703241565328,3
15,15,0,fam,0.10068697174764538,2.2957388645128805,3
16,16,1,fam,0.10065577414846032,2.296048759953075,3
17,17,2,fam,0.10063394732966642,2.2962656296344393,3
18,18,0,fam,0.10077044346737354,2.294910185911839,3
19,19,1,fam,0.10075973890429916,2.2950164187644915,3
20,20,2,fam,0.10075224706321437,2.2950907750470946,3
21,21,0,fam,0.10079904819127657,2.2946263659363093,3
22,22,1,fam,0.10079537608189172,2.2946627966004858,3
23,23,2,fam,0.10079280576451045,2.2946882972757523,3
24,24,0,fam,0.10080885654680283,2.2945290646370697,3
25,25,1,fam,0.10080759696106793,2.294541559507533,3
26,26,2,fam,0.10080671526978188,2.2945503058239654,3
27,27,0,fam,0.1008122204523034,2.2944956960473277,3
28,28,1,fam,0.10081178840825519,2.2944999816882157,3
29,29,2,fam,0.10081148597962483,2.294502981625909,3
30,30,0,fam,0.10081337422948906,2.2944842512980883,3
31,31,1,fam,0.1008132260376581,2.294485721261186,3
32,32,2,fam,0.10081312230363566,2.2944867502340687,3
33,33,0,fam,0.10081376997007549,2.294480325828747,3
34,34,1,fam,0.10081371914019249,2.29448083002471,3
35,35,2,fam,0.10081368355930488,2.294481182961733,3
36,36,0,fam,0.1008139057085098,2.2944789794021334,3
37,37,1,fam,0.10081388827384993,2.2944791523411863,3
38,38,2,fam,0.10081387606959161,2.2944792733985055,3
39,39,0,fam,0.10081395226672371,2.2944785175789075,3
40,40,1,fam,0.1008139462866342,2.2944785768969833,3
41,41,2,fam,0.10081394210057197,2.2944786184196344,3
42,42,0,fam,0.10081396823618297,2.2944783591736706,3
43,43,1,fam,0.10081396618501214,2.2944783795197683,3
44,44,2,fam,0.10081396474919259,2.2944783937620365,3
45,45,0,fam,0.10081397371370653,2.29447830484069,3
46,46,1,fam,0.10081397301015492,2.2944783118194008,3
47,47,2,fam,0.1008139725176688,2.294478316704499,3
48,48,0,fam,0.100813975592497,2.294478286204479,3
49,49,1,fam,0.1008139753511788,2.2944782885981767,3
50,50,2,fam,0.10081397518225607,2.2944782902737653,3
51,51,0,fam,0.10081397623692212,2.294478279812259,3
52,52,1,fam,0.10081397615414997,2.2944782806332973,3
53,53,3,nov,0.05217391311344501,2.9531726577941657,3
54,54,0,fam,0.10081397645795992,2.2944782776197274,3
55,55,1,fam,0.10081397642956907,2.294478277901344,3
56,56,2,fam,0.06885745465586593,2.6757167857998794,3
57,57,0,fam,0.1008139765337759,2.294478276867689,3
58,58,1,fam,0.10081397652403785,2.2944782769642833,3
59,59,2,fam,0.08985288955897013,2.4095815064592214,3
0,0,0,fam,0.06666666666666667,2.70805020110221,6
1,1,1,fam,0.06153846153846154,2.7880929087757464,6
2,2,2,fam,0.05839416058394161,2.840539384148289,6
3,3,3,fam,0.05637773079633545,2.875681042486161,6
4,4,4,fam,0.055047134108580476,2.899565476958243,6
5,5,5,fam,0.05415247984512391,2.9159515107365714,6
6,6,0,fam,0.06479211467375046,2.736571370161869,6
7,7,1,fam,0.06428591777349871,2.744414679912559,6
8,8,2,fam,0.06393626047460932,2.749868621974587,6
9,9,3,fam,0.0636937549468433,2.7536687597212026,6
10,10,4,fam,0.06352509274764433,2.7563202897589614,6
11,11,5,fam,0.0634075597032819,2.7581721864251567,6
12,12,0,fam,0.06461899789947118,2.7392468262970042,6
13,13,1,fam,0.06456054368432418,2.740151833675417,6
14,14,2,fam,0.06451968861820412,2.740784851865043,6
15,15,3,fam,0.06449112082433885,2.7412277262948006,6
16,16,4,fam,0.0644711384164508,2.741537621734995,6
17,17,5,fam,0.06445715809721371,2.74175449141636,6
18,18,0,fam,0.0645991447601527,2.7395541072881415,6
19,19,1,fam,0.06459228257322723,2.739660340140794,6
20,20,2,fam,0.06458747990976656,2.7397346964233966,6
21,21,3,fam,0.06458411847026492,2.739786742531745,6
22,22,4,fam,0.0645817656707911,2.739823173195921,6
23,23,5,fam,0.06458011881315467,2.7398486738711876,6
24,24,0,fam,0.06459681598924616,2.7395901575004435,6
25,25,1,fam,0.06459600886544052,2.7396026523709063,6
26,26,2,fam,0.06459544389077741,2.739611398687339,6
27,27,3,fam,0.06459504841439351,2.7396175210633262,6
28,28,4,fam,0.06459477158380605,2.739621806704214,6
29,29,5,fam,0.06459457780380663,2.739624806641908,6
30,30,0,fam,0.06459654210732467,2.739594397376634,6
31,31,1,fam,0.06459644715286132,2.739595867339732,6
32,32,2,fam,0.06459638068490307,2.7395968963126145,6
33,33,3,fam,0.0645963341574137,2.7395976165930023,6
34,34,4,fam,0.064596301588211,2.7395981207889655,6
35,35,5,fam,0.06459627878978867,2.739598473725988,6
36,36,0,fam,0.0645965098867139,2.739594896174523,6
37,37,1,fam,0.06459649871545561,2.7395950691135758,6
38,38,2,fam,0.06459649089557712,2.739595190170895,6
39,39,3,fam,0.0645964854216633,2.73959527491101,6
40,40,4,fam,0.06459648158992418,2.7395953342290857,6
41,41,5,fam,0.06459647890770706,2.739595375751737,6
42,42,0,fam,0.06459650609600956,2.7395949548573286,6
43,43,1,fam,0.06459650478172274,2.7395949752034263,6
44,44,2,fam,0.064596503861722,2.7395949894456946,6
45,45,3,fam,0.0645965032177215,2.7395949994152824,6
46,46,4,fam,0.06459650276692115,2.7395950063939933,6
47,47,5,fam,0.06459650245136092,2.7395950112790914,6
48,48,0,fam,0.06459650565003724,2.739594961761298,6
49,49,1,fam,0.06459650549541272,2.739594964154996,6
50,50,2,fam,0.06459650538717557,2.7395949658305847,6
