,time_step,stimulus,type,familiarity,novelty,n_fam,steady
0,0,0,fam,0.0019493177387914231,6.240275845170769,1,5.981523048584847
1,1,1,fam,0.0019451048195374973,6.24243941157078,1,5.981523048584847
2,2,2,fam,0.0019430051813471504,6.243519441916612,1,5.981523048584847
3,3,0,fam,0.0024813895781637717,5.998936561946683,1,5.981523048584847
4,4,1,fam,0.0024807204875155046,5.999206241838288,1,5.981523048584847
5,5,2,fam,0.002480386077485104,5.999341054516276,1,5.981523048584847
6,6,0,fam,0.0025476161591653523,5.972597196589804,1,5.981523048584847
7,7,1,fam,0.0025475303108930506,5.9726308946484625,1,5.981523048584847
8,8,3,nov,0.0019409427725154418,6.244581458735608,1,5.981523048584847
9,9,0,fam,0.002555890088302043,5.9693547448382125,1,5.981523048584847
10,10,1,fam,0.0025558793227341,5.96935895690925,1,5.981523048584847
11,11,2,fam,0.0020167311181021838,6.206277336728674,1,5.981523048584847
12,12,0,fam,0.0025569242608328106,5.968950203435278,1,5.981523048584847
13,13,1,fam,0.002556922914597279,5.968950729941247,1,5.981523048584847
14,14,2,fam,0.002489529512934323,5.9956615369877255,1,5.981523048584847
0,0,0,fam,0.0019493177387914231,6.240275845170769,3,5.9690873321048805
1,1,1,fam,0.0019451048195374973,6.24243941157078,3,5.9690873321048805
2,2,2,fam,0.0019430051813471504,6.243519441916612,3,5.9690873321048805
3,3,0,fam,0.0024813895781637717,5.998936561946683,3,5.9690873321048805
4,4,1,fam,0.0024807204875155046,5.999206241838288,3,5.9690873321048805
5,5,2,fam,0.002480386077485104,5.999341054516276,3,5.9690873321048805
6,6,0,fam,0.0025476161591653523,5.972597196589804,3,5.9690873321048805
7,7,1,fam,0.0025475303108930506,5.9726308946484625,3,5.9690873321048805
8,8,2,fam,0.002547487388926517,5.972647743251967,3,5.9690873321048805
9,9,0,fam,0.002555890088302043,5.9693547448382125,3,5.9690873321048805
10,10,1,fam,0.0025558793227341,5.96935895690925,3,5.9690873321048805
11,11,2,fam,0.002555873939984137,5.969361062938115,3,5.9690873321048805
12,12,0,fam,0.0025569242608328106,5.968950203435278,3,5.9690873321048805
13,13,1,fam,0.002556922914597279,5.968950729941247,3,5.9690873321048805
14,14,3,nov,0.0019409105821168026,6.24459804380243,3,5.9690873321048805
15,15,0,fam,0.0025570535313271764,5.9688996476841005,3,5.9690873321048805
16,16,1,fam,0.002557053363039305,5.968899713497302,3,5.9690873321048805
17,17,2,fam,0.002017911574718864,6.205692176286852,3,5.9690873321048805
18,18,0,fam,0.0025570696901222227,5.96889332840146,3,5.9690873321048805
19,19,1,fam,0.002557069669086107,5.96889333662811,3,5.9690873321048805
20,20,2,fam,0.002489676947486442,5.995602316887762,3,5.9690873321048805
0,0,0,fam,0.0019493177387914231,6.240275845170769,8,5.968892431597087
1,1,1,fam,0.0019451048195374973,6.24243941157078,8,5.968892431597087
2,2,2,fam,0.0019430051813471504,6.243519441916612,8,5.968892431597087
3,3,0,fam,0.0024813895781637717,5.998936561946683,8,5.968892431597087
4,4,1,fam,0.0024807204875155046,5.999206241838288,8,5.968892431597087
5,5,2,fam,0.002480386077485104,5.999341054516276,8,5.968892431597087
6,6,0,fam,0.0025476161591653523,5.972597196589804,8,5.968892431597087
7,7,1,fam,0.0025475303108930506,5.9726308946484625,8,5.968892431597087
8,8,2,fam,0.002547487388926517,5.972647743251967,8,5.968892431597087
9,9,0,fam,0.002555890088302043,5.9693547448382125,8,5.968892431597087
10,10,1,fam,0.0025558793227341,5.96935895690925,8,5.968892431597087
11,11,2,fam,0.002555873939984137,5.969361062938115,8,5.968892431597087
12,12,0,fam,0.0025569242608328106,5.968950203435278,8,5.968892431597087
13,13,1,fam,0.002556922914597279,5.968950729941247,8,5.968892431597087
14,14,2,fam,0.0025569222414800453,5.968950993194127,8,5.968892431597087
15,15,0,fam,0.0025570535313271764,5.9688996476841005,8,5.968892431597087
16,16,1,fam,0.002557053363039305,5.968899713497302,8,5.968892431597087
17,17,2,fam,0.0025570532788953774,5.9688997464039,8,5.968892431597087
18,18,0,fam,0.0025570696901222227,5.96889332840146,8,5.968892431597087
19,19,1,fam,0.002557069669086107,5.96889333662811,8,5.968892431597087
20,20,2,fam,0.0025570696585680494,5.968893340741435,8,5.968892431597087
21,21,0,fam,0.002557071709971342,5.968892538494041,8,5.968892431597087
22,22,1,fam,0.0025570717073418255,5.968892539522372,8,5.968892431597087
23,23,2,fam,0.0025570717060270673,5.968892540036538,8,5.968892431597087
