outer_resampling_id,train_mse,test_mse
0,9.231935784758857e-07,2.585649763877166e-05
1,9.208577747520702e-07,2.5862190527232172e-05
2,9.149398860871243e-07,2.9975950564058453e-05
3,9.183300346089964e-07,3.311846253470722e-05
4,8.713688044707495e-07,2.679800849426013e-05
5,9.232852638871405e-07,2.583484504693529e-05
6,8.202176841624757e-07,2.5906624467123918e-05
7,9.19499343156172e-07,2.581923970733305e-05
8,8.814110278392006e-07,2.544819106117516e-05
9,8.774601537976554e-07,2.4851491148118107e-05
10,9.092237301195926e-07,2.5624874608819088e-05
11,9.186080482700604e-07,2.5876152171819268e-05
12,8.12011126036102e-07,2.5928797029922645e-05
13,9.197633108757831e-07,2.969389019679943e-05
14,9.000750261973349e-07,2.5472621192837725e-05
15,9.199718656474445e-07,2.7527387551120135e-05
16,4.3111735523388824e-07,1.6850285748332527e-05
17,8.722689625421356e-07,2.868955026575261e-05
18,9.162121755112969e-07,3.050987141586747e-05
19,7.276207453084914e-07,2.257050165974811e-05
