resampling_id,gid,train_mse,test_mse
0,70,8.86035349222481e-07,2.171794867426461e-08
1,70,8.838814450349901e-07,8.332480828622318e-07
2,70,8.805348201562377e-07,2.1751025287621357e-06
3,70,8.847684899074275e-07,5.367408139930908e-07
4,70,8.376127598841694e-07,2.000751753456676e-05
5,70,8.860927317011707e-07,6.731884319384632e-10
6,70,7.896610290387072e-07,3.558259050629564e-05
7,70,8.825735064821674e-07,1.3411371796984937e-06
8,70,8.465354669843176e-07,1.5549423554427987e-05
9,70,8.424700846812588e-07,1.748004110477144e-05
10,70,8.728253782131738e-07,5.354111681134817e-06
11,70,8.818215019870059e-07,1.736753839776739e-06
12,70,7.83533980434559e-07,3.997128509922987e-05
13,70,8.847018599168871e-07,5.194831303682162e-07
14,70,8.641675500858607e-07,8.17302465971319e-06
15,70,8.830061643972504e-07,1.1340226567367256e-06
16,70,4.143274905499711e-07,0.0002283824118061
17,70,8.414138016892318e-07,2.1508080726931865e-05
18,70,8.842254999251909e-07,9.004758257546773e-07
19,70,7.00382709601377e-07,8.965487865112712e-05
