,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old
0,4,2,8,0.001,2.6666666666666665,0,,0
1,4,2,8,0.01,2.6666666666666665,1,,1
2,4,2,8,0.1,2.6666666666666665,2,,2
3,4,2,8,0.2,2.6666666666666665,3,,3
4,4,2,8,0.3,2.6666666666666665,4,,4
5,4,2,8,0.4,2.6666666666666665,5,,5
6,4,2,8,0.5,2.6666666666666665,6,,6
7,4,2,8,0.6,2.6666666666666665,7,,7
0,4,2,8,0.7,2.6666666666666665,8,,0
1,4,2,8,0.8,2.6666666666666665,9,,1
2,4,2,8,0.9,2.6666666666666665,10,,2
3,4,2,8,0.99,2.6666666666666665,11,,3
4,4,2,8,0.999,2.6666666666666665,12,,4
5,4,4,8,0.001,2.6666666666666665,13,,5
6,4,4,8,0.01,2.6666666666666665,14,,6
7,4,4,8,0.1,2.6666666666666665,15,,7
0,4,4,8,0.2,2.6666666666666665,16,,0
1,4,4,8,0.3,2.6666666666666665,17,,1
2,4,4,8,0.4,2.6666666666666665,18,,2
3,4,4,8,0.5,2.6666666666666665,19,,3
4,4,4,8,0.6,2.6666666666666665,20,,4
5,4,4,8,0.7,2.6666666666666665,21,,5
6,4,4,8,0.8,2.6666666666666665,22,,6
7,4,4,8,0.9,2.6666666666666665,23,,7
0,4,4,8,0.99,2.6666666666666665,24,,0
1,4,4,8,0.999,2.6666666666666665,25,,1
2,4,6,8,0.001,2.6666666666666665,26,,2
3,4,6,8,0.01,2.6666666666666665,27,,3
4,4,6,8,0.1,2.6666666666666665,28,,4
5,4,6,8,0.2,2.6666666666666665,29,,5
6,4,6,8,0.3,2.6666666666666665,30,,6
7,4,6,8,0.4,2.6666666666666665,31,,7
0,4,6,8,0.5,2.6666666666666665,32,,0
1,4,6,8,0.6,2.6666666666666665,33,,1
2,4,6,8,0.7,2.6666666666666665,34,,2
3,4,6,8,0.8,2.6666666666666665,35,,3
4,4,6,8,0.9,2.6666666666666665,36,,4
5,4,6,8,0.99,2.6666666666666665,37,,5
6,4,6,8,0.999,2.6666666666666665,38,,6
7,4,8,8,0.001,2.6666666666666665,39,,7
0,4,8,8,0.01,2.6666666666666665,40,,0
1,4,8,8,0.1,2.6666666666666665,41,,1
2,4,8,8,0.2,2.6666666666666665,42,,2
3,4,8,8,0.3,2.6666666666666665,43,,3
4,4,8,8,0.4,2.6666666666666665,44,,4
5,4,8,8,0.5,2.6666666666666665,45,,5
6,4,8,8,0.6,2.6666666666666665,46,,6
7,4,8,8,0.7,2.6666666666666665,47,,7
0,4,8,8,0.8,2.6666666666666665,48,,0
1,4,8,8,0.9,2.6666666666666665,49,,1
2,4,8,8,0.99,2.6666666666666665,50,,2
3,4,8,8,0.999,2.6666666666666665,51,,3
4,4,10,8,0.001,2.6666666666666665,52,,4
5,4,10,8,0.01,2.6666666666666665,53,,5
6,4,10,8,0.1,2.6666666666666665,54,,6
7,4,10,8,0.2,2.6666666666666665,55,,7
0,4,10,8,0.3,2.6666666666666665,56,,0
1,4,10,8,0.4,2.6666666666666665,57,,1
2,4,10,8,0.5,2.6666666666666665,58,,2
3,4,10,8,0.6,2.6666666666666665,59,,3
4,4,10,8,0.7,2.6666666666666665,60,,4
5,4,10,8,0.8,2.6666666666666665,61,,5
6,4,10,8,0.9,2.6666666666666665,62,,6
7,4,10,8,0.99,2.6666666666666665,63,,7
0,4,10,8,0.999,2.6666666666666665,64,,0
1,8,2,8,0.001,2.6666666666666665,65,,1
2,8,2,8,0.01,2.6666666666666665,66,,2
3,8,2,8,0.1,2.6666666666666665,67,,3
4,8,2,8,0.2,2.6666666666666665,68,,4
5,8,2,8,0.3,2.6666666666666665,69,,5
6,8,2,8,0.4,2.6666666666666665,70,,6
7,8,2,8,0.5,2.6666666666666665,71,,7
0,8,2,8,0.6,2.6666666666666665,72,,0
1,8,2,8,0.7,2.6666666666666665,73,,1
2,8,2,8,0.8,2.6666666666666665,74,,2
3,8,2,8,0.9,2.6666666666666665,75,,3
4,8,2,8,0.99,2.6666666666666665,76,,4
5,8,2,8,0.999,2.6666666666666665,77,,5
6,8,4,8,0.001,2.6666666666666665,78,,6
7,8,4,8,0.01,2.6666666666666665,79,,7
0,8,4,8,0.1,2.6666666666666665,80,,0
1,8,4,8,0.2,2.6666666666666665,81,,1
2,8,4,8,0.3,2.6666666666666665,82,,2
3,8,4,8,0.4,2.6666666666666665,83,,3
4,8,4,8,0.5,2.6666666666666665,84,,4
5,8,4,8,0.6,2.6666666666666665,85,,5
6,8,4,8,0.7,2.6666666666666665,86,,6
7,8,4,8,0.8,2.6666666666666665,87,,7
0,8,4,8,0.9,2.6666666666666665,88,,0
1,8,4,8,0.99,2.6666666666666665,89,,1
2,8,4,8,0.999,2.6666666666666665,90,,2
3,8,6,8,0.001,2.6666666666666665,91,,3
4,8,6,8,0.01,2.6666666666666665,92,,4
5,8,6,8,0.1,2.6666666666666665,93,,5
6,8,6,8,0.2,2.6666666666666665,94,,6
7,8,6,8,0.3,2.6666666666666665,95,,7
0,8,6,8,0.4,2.6666666666666665,96,,0
1,8,6,8,0.5,2.6666666666666665,97,,1
2,8,6,8,0.6,2.6666666666666665,98,,2
3,8,6,8,0.7,2.6666666666666665,99,,3
4,8,6,8,0.8,2.6666666666666665,100,,4
5,8,6,8,0.9,2.6666666666666665,101,,5
6,8,6,8,0.99,2.6666666666666665,102,,6
7,8,6,8,0.999,2.6666666666666665,103,,7
0,8,8,8,0.001,2.6666666666666665,104,,0
1,8,8,8,0.01,2.6666666666666665,105,,1
2,8,8,8,0.1,2.6666666666666665,106,,2
3,8,8,8,0.2,2.6666666666666665,107,,3
4,8,8,8,0.3,2.6666666666666665,108,,4
5,8,8,8,0.4,2.6666666666666665,109,,5
6,8,8,8,0.5,2.6666666666666665,110,,6
7,8,8,8,0.6,2.6666666666666665,111,,7
0,8,8,8,0.7,2.6666666666666665,112,,0
1,8,8,8,0.8,2.6666666666666665,113,,1
2,8,8,8,0.9,2.6666666666666665,114,,2
3,8,8,8,0.99,2.6666666666666665,115,,3
4,8,8,8,0.999,2.6666666666666665,116,,4
5,8,10,8,0.001,2.6666666666666665,117,,5
6,8,10,8,0.01,2.6666666666666665,118,,6
7,8,10,8,0.1,2.6666666666666665,119,,7
0,8,10,8,0.2,2.6666666666666665,120,,0
1,8,10,8,0.3,2.6666666666666665,121,,1
2,8,10,8,0.4,2.6666666666666665,122,,2
3,8,10,8,0.5,2.6666666666666665,123,,3
4,8,10,8,0.6,2.6666666666666665,124,,4
5,8,10,8,0.7,2.6666666666666665,125,,5
6,8,10,8,0.8,2.6666666666666665,126,,6
7,8,10,8,0.9,2.6666666666666665,127,,7
0,8,10,8,0.99,2.6666666666666665,128,,0
1,8,10,8,0.999,2.6666666666666665,129,,1
2,16,2,8,0.001,2.6666666666666665,130,,2
3,16,2,8,0.01,2.6666666666666665,131,,3
4,16,2,8,0.1,2.6666666666666665,132,,4
5,16,2,8,0.2,2.6666666666666665,133,,5
6,16,2,8,0.3,2.6666666666666665,134,,6
7,16,2,8,0.4,2.6666666666666665,135,,7
0,16,2,8,0.5,2.6666666666666665,136,,0
1,16,2,8,0.6,2.6666666666666665,137,,1
2,16,2,8,0.7,2.6666666666666665,138,,2
3,16,2,8,0.8,2.6666666666666665,139,,3
4,16,2,8,0.9,2.6666666666666665,140,,4
5,16,2,8,0.99,2.6666666666666665,141,,5
6,16,2,8,0.999,2.6666666666666665,142,,6
7,16,4,8,0.001,2.6666666666666665,143,,7
0,16,4,8,0.01,2.6666666666666665,144,,0
1,16,4,8,0.1,2.6666666666666665,145,,1
2,16,4,8,0.2,2.6666666666666665,146,,2
3,16,4,8,0.3,2.6666666666666665,147,,3
4,16,4,8,0.4,2.6666666666666665,148,,4
5,16,4,8,0.5,2.6666666666666665,149,,5
6,16,4,8,0.6,2.6666666666666665,150,,6
7,16,4,8,0.7,2.6666666666666665,151,,7
0,16,4,8,0.8,2.6666666666666665,152,,0
1,16,4,8,0.9,2.6666666666666665,153,,1
2,16,4,8,0.99,2.6666666666666665,154,,2
3,16,4,8,0.999,2.6666666666666665,155,,3
4,16,6,8,0.001,2.6666666666666665,156,,4
5,16,6,8,0.01,2.6666666666666665,157,,5
6,16,6,8,0.1,2.6666666666666665,158,,6
7,16,6,8,0.2,2.6666666666666665,159,,7
0,16,6,8,0.3,2.6666666666666665,160,,0
1,16,6,8,0.4,2.6666666666666665,161,,1
2,16,6,8,0.5,2.6666666666666665,162,,2
3,16,6,8,0.6,2.6666666666666665,163,,3
4,16,6,8,0.7,2.6666666666666665,164,,4
5,16,6,8,0.8,2.6666666666666665,165,,5
6,16,6,8,0.9,2.6666666666666665,166,,6
7,16,6,8,0.99,2.6666666666666665,167,,7
0,16,6,8,0.999,2.6666666666666665,168,,0
1,16,8,8,0.001,2.6666666666666665,169,,1
2,16,8,8,0.01,2.6666666666666665,170,,2
3,16,8,8,0.1,2.6666666666666665,171,,3
4,16,8,8,0.2,2.6666666666666665,172,,4
5,16,8,8,0.3,2.6666666666666665,173,,5
6,16,8,8,0.4,2.6666666666666665,174,,6
7,16,8,8,0.5,2.6666666666666665,175,,7
0,16,8,8,0.6,2.6666666666666665,176,,0
1,16,8,8,0.7,2.6666666666666665,177,,1
2,16,8,8,0.8,2.6666666666666665,178,,2
3,16,8,8,0.9,2.6666666666666665,179,,3
4,16,8,8,0.99,2.6666666666666665,180,,4
5,16,8,8,0.999,2.6666666666666665,181,,5
