outer_resampling_id,train_mse
0,1.081622783851487e-06
1,1.1065828546350462e-06
2,1.0439504640576463e-06
3,1.0196530685656776e-06
4,1.109586690748953e-06
5,1.1134554023222044e-06
6,1.0749502343026264e-06
7,1.0856880452410387e-06
8,1.110238088089434e-06
9,1.0977002405326386e-06
10,1.1131261103746073e-06
11,1.1088825721523655e-06
12,1.0087685092556983e-06
13,9.884502789490087e-07
14,1.109007604024115e-06
15,1.1118568657976696e-06
16,5.426669738741995e-07
17,1.0520058259493735e-06
18,1.1020301915668998e-06
19,9.149100189220206e-07
