exp_id,id_in_exp,yres,ypred,w
0,0,7.020307740398613e-07,0.014062127232785394,0.05
0,1,7.481602822434048e-08,0.02362647481244986,0.05
0,2,2.3259043429743118e-05,0.030477236950694847,0.05
0,3,3.874688876672765e-05,0.03457530010629206,0.05
0,4,4.9259401415729606e-06,0.03708055409131627,0.05
1,0,1.726098568779565e-09,-4.15463424236065e-05,0.05
1,1,1.9592547505740338e-05,0.019373653029219205,0.05
1,2,8.119213862165385e-06,0.03184942342626809,0.05
1,3,9.733184066516528e-08,0.03818801948672206,0.05
1,4,7.125580049930775e-07,0.04135586849070001,0.05
1,5,9.049699700725347e-07,0.042651299096011626,0.05
1,6,2.3078848613403937e-06,0.04351917242646791,0.05
2,0,3.112413607459481e-05,0.03287890097372187,0.05
2,1,2.2172831964975875e-05,0.025908803666004336,0.05
2,2,9.090503905102948e-06,0.015884953747435548,0.05
2,3,1.0091130748881947e-06,0.013795453796538858,0.05
3,0,0.00015063411520992108,0.06402669094294774,0.05
3,1,1.5370420384992554e-05,0.07252051277067076,0.05
3,2,1.5456299439227185e-06,0.07674323366424929,0.05
3,3,5.0545880678018194e-05,0.07880956262213212,0.05
