outer_resampling_id,train_mse
0,4.1876180426521116e-06
1,4.176048007543662e-06
2,3.994253743459408e-06
3,4.046311820181437e-06
4,3.979419185623264e-06
5,4.16610291586578e-06
6,3.7700366689412153e-06
7,4.1556976579035455e-06
8,4.0972385132848485e-06
9,4.044347325459088e-06
10,4.139852552030372e-06
11,4.161086113459581e-06
12,3.397930551846972e-06
13,4.326273900405703e-06
14,4.256783318901733e-06
15,4.319327511716773e-06
16,1.933435905550641e-06
17,4.66987879160003e-06
18,4.9765364353800195e-06
19,3.840599607569161e-06
