n_im,steady,sample_id
3,1.5100039079417162,0
6,2.0369187017605053,0
9,2.212421043437133,0
12,2.248284238369643,0
3,1.7178917130459253,1
6,2.1508654020435065,1
9,2.197968155511395,1
12,2.249257898275367,1
3,1.6334904719073642,2
6,1.6587346341180966,2
9,2.015031446835078,2
12,2.0839081482134656,2
3,1.6208119528354017,3
6,2.0198113394233514,3
9,2.190393197949776,3
12,2.2092364166825584,3
3,1.8966551253729735,4
6,2.1504489183428896,4
9,2.2661255617591602,4
12,2.319953364479868,4
3,1.565829749228689,5
6,1.895775665459816,5
9,2.08593336006632,5
12,2.202254168967893,5
3,1.5701926621569877,6
6,2.1135855364856844,6
9,2.2789620637098693,6
12,2.366407103712791,6
3,1.6479076278205134,7
6,1.7809349097076759,7
9,2.0212358804051487,7
12,2.1944982357920955,7
3,1.4748586457310815,8
6,1.3844888595849985,8
9,1.8725679286627714,8
12,2.186664220835799,8
3,1.7837222920666642,9
6,1.8278868605071177,9
9,1.9822205108168116,9
12,2.06450089765229,9
3,1.5350617649563003,10
6,1.8624908309809292,10
9,1.9485247344132435,10
12,2.0198824288007775,10
3,1.5580992234669921,11
6,1.9894121538797693,11
9,1.986349029885804,11
12,2.157552541124549,11
3,1.4264029808948326,12
6,1.8616053589169996,12
9,2.0447082476144476,12
12,2.2341481418888347,12
3,1.6189955506046299,13
6,1.7920380856863996,13
9,2.070913511913004,13
12,2.133847284746671,13
3,1.628909622882111,14
6,1.859977887507694,14
9,2.0741340354771225,14
12,2.240403359847671,14
3,1.604156032329698,15
6,1.9936462416227105,15
9,2.120147240407362,15
12,2.3059696412423323,15
3,1.6689688685661501,16
6,1.667055538749303,16
9,1.8590145025528304,16
12,2.0004622913177434,16
3,1.719114971758488,17
6,1.920782166505848,17
9,2.068321062957736,17
12,2.108075200634068,17
3,1.6899837207602082,18
6,2.0755020368777295,18
9,2.178634131128165,18
12,2.2839420797458203,18
3,1.2648985599888902,19
6,1.7967221909907976,19
9,1.8954525584097948,19
12,2.1255530533252993,19
3,1.8668073120683444,20
6,1.9202067911791258,20
9,2.0398669179810445,20
12,2.2296111312805844,20
3,1.576266123348968,21
6,1.85409542323578,21
9,2.102713300157289,21
12,2.1110120006640227,21
3,1.8270995930132552,22
6,2.038181858908826,22
9,2.2197550346384287,22
12,2.307840399812626,22
3,1.5362661766193109,23
6,2.0474173112444634,23
9,2.0892644816414045,23
12,2.2870907540422096,23
3,1.503860171017525,24
6,2.068303713652072,24
9,2.133085253062459,24
12,2.197924713839525,24
3,1.679657036964218,25
6,1.9935263339150997,25
9,2.2633431001068147,25
12,2.340203289588722,25
3,1.7217237018412486,26
6,1.9815029568691906,26
9,2.2181874771668735,26
12,2.3365341616232533,26
3,1.7877864149299225,27
6,2.091526134124658,27
9,2.229459485262284,27
12,2.238283399318439,27
3,1.7742333757584234,28
6,1.938737160608735,28
9,2.147908123406953,28
12,2.363001902633218,28
3,1.5859528497217938,29
6,1.7661086527213123,29
9,2.170499584082044,29
12,2.2555723339634994,29
3,1.7784018324144035,30
6,1.9932821041551032,30
9,2.2182190168592615,30
12,2.341816078975868,30
3,1.8734301434581453,31
6,2.011636226916257,31
9,2.246686489451591,31
12,2.3038577676652547,31
3,1.4791555977933066,32
6,2.02274763558503,32
9,2.168179311199186,32
12,2.277335819670684,32
3,1.6995998577974918,33
6,1.8825674417867158,33
9,2.177399921965364,33
12,2.2556664600125926,33
3,1.4562761792764656,34
6,1.8706330037507437,34
9,2.078454844682431,34
12,2.1684630913263163,34
3,1.494007036179685,35
6,1.9398902078351539,35
9,2.139838901435032,35
12,2.2847374832352156,35
3,1.7923157600175166,36
6,1.8262859974499606,36
9,2.074692572973494,36
12,2.2018634710961225,36
3,1.5622758824227563,37
6,1.8256444518568493,37
9,2.1048918311764306,37
12,2.279052714150646,37
3,1.4955523391590733,38
6,1.869487240814652,38
9,2.011147792836794,38
12,2.106449815889251,38
3,1.523883291317598,39
6,1.8178290523934293,39
9,2.13601598949042,39
12,2.132926347570633,39
3,1.6690691948841792,40
6,1.9411544949512123,40
9,2.0213917956163394,40
12,2.145487821197302,40
3,1.6986331032921376,41
6,2.137703889862473,41
9,2.1789155594544583,41
12,2.2634349981720496,41
3,1.6213421014629943,42
6,2.163641143811722,42
9,2.286776419990257,42
12,2.3276555886901216,42
3,1.8104773385002468,43
6,1.9739806937365365,43
9,2.191162857285408,43
12,2.17933906245689,43
3,1.1041226424710247,44
6,2.076314039510788,44
9,2.177812831366792,44
12,2.349067143649372,44
3,1.6026113416463688,45
6,1.8835106768491496,45
9,2.0340341579475694,45
12,2.201123976476352,45
3,1.4892594519956714,46
6,2.015207966589719,46
9,2.2439233251515645,46
12,2.3906479081223098,46
3,1.431961758258801,47
6,1.8763542985423887,47
9,1.9279376560982873,47
12,2.10918915775196,47
3,1.3974941440645485,48
6,1.68678044446726,48
9,1.9909958994550285,48
12,2.158741353076208,48
3,1.466164777980553,49
6,1.869322462529028,49
9,2.0736677183068175,49
12,2.1544613607980168,49
