resampling_id,train_rss,train_mse,train_nmse
0,7.25305407002929e-05,3.817396878962784e-06,0.008812148554869855
1,7.219784473896042e-05,3.7998865652084435e-06,0.008424861601274172
2,7.2625598507737e-05,3.822399921459842e-06,0.008296220950446458
3,7.24712728267701e-05,3.8142775171984265e-06,0.008286977179111981
4,7.131340781859652e-05,3.753337253610343e-06,0.008146443363813876
5,7.47656348269996e-05,3.935033411947347e-06,0.010249073910603854
6,6.706924118189992e-05,3.5299600622052592e-06,0.007828982069411856
7,7.395173131775472e-05,3.8921963851449855e-06,0.008513946991944523
8,7.078613091733263e-05,3.725585837754349e-06,0.008083698463864402
9,7.179238099673299e-05,3.7785463682491047e-06,0.008221025487630068
10,7.359247521099985e-05,3.873288168999992e-06,0.008422420270719575
11,7.396378100981153e-05,3.892830579463765e-06,0.008467709089652834
12,6.582049186403213e-05,3.464236413896428e-06,0.0076064405643180965
13,7.472558272504826e-05,3.932925406581487e-06,0.008805892797628929
14,7.310352957963982e-05,3.8475541884020955e-06,0.00870030770638262
15,7.47665828921512e-05,3.935083310113221e-06,0.009089033739858067
16,3.205421990133206e-05,1.6870642053332666e-06,0.004479398202631676
17,8.226904758386126e-05,4.329949872834803e-06,0.01064838579911786
18,8.754952954753742e-05,4.60786997618618e-06,0.012124366820341284
19,6.625543018319066e-05,3.4871279043784556e-06,0.008820559734911072
