Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
0,4,2,8,0.001,2.6666666666666665,0,,0,2.553461413233131e-05,1.894831487838557e-06,1.894831487838557e-06
1,4,2,8,0.01,2.6666666666666665,1,,1,3.8887682496398706e-05,2.1162669565654283e-06,2.1162669565654283e-06
2,4,2,8,0.1,2.6666666666666665,2,,2,1.9745689145801704e-06,9.981503730977411e-08,9.981503730977411e-08
3,4,2,8,0.2,2.6666666666666665,3,,3,1.2067067179225863e-06,1.0247836987213682e-07,1.0247836987213682e-07
4,4,2,8,0.3,2.6666666666666665,4,,4,9.89971382016852e-07,1.0679989718883991e-07,1.0679989718883991e-07
5,4,2,8,0.4,2.6666666666666665,5,,5,9.148666559274215e-07,1.0984926375462805e-07,1.0984926375462805e-07
6,4,2,8,0.5,2.6666666666666665,6,,6,9.174249115248427e-07,1.1154325423904096e-07,1.1154325423904096e-07
7,4,2,8,0.6,2.6666666666666665,7,,7,9.987035686400762e-07,1.1387294708223121e-07,1.1387294708223121e-07
0,4,2,8,0.7,2.6666666666666665,8,,0,1.1672377439109238e-06,1.1872455401101806e-07,1.1872455401101806e-07
1,4,2,8,0.8,2.6666666666666665,9,,1,1.5228241679808753e-06,1.2774498956008907e-07,1.2774498956008907e-07
2,4,2,8,0.9,2.6666666666666665,10,,2,2.3605624321014152e-06,1.5607542568045252e-07,1.5607542568045252e-07
3,4,2,8,0.99,2.6666666666666665,11,,3,4.853514227804313e-06,2.9430746169878984e-07,2.9430746169878984e-07
4,4,2,8,0.999,2.6666666666666665,12,,4,5.571492328045051e-06,3.178781729434639e-07,3.178781729434639e-07
5,4,4,8,0.001,2.6666666666666665,13,,5,2.5295773098798637e-05,1.8681418039537393e-06,1.8681418039537393e-06
6,4,4,8,0.01,2.6666666666666665,14,,6,3.8688826368457346e-05,2.117658431600206e-06,2.117658431600206e-06
7,4,4,8,0.1,2.6666666666666665,15,,7,2.5125900963219788e-06,1.2071369626707665e-07,1.2071369626707665e-07
0,4,4,8,0.2,2.6666666666666665,16,,0,1.6146759844854876e-06,1.1226294930435882e-07,1.1226294930435882e-07
1,4,4,8,0.3,2.6666666666666665,17,,1,1.3140594649007075e-06,1.1468809218878569e-07,1.1468809218878569e-07
2,4,4,8,0.4,2.6666666666666665,18,,2,1.2009580542273427e-06,1.167574905440388e-07,1.167574905440388e-07
3,4,4,8,0.5,2.6666666666666665,19,,3,1.199155599913294e-06,1.1973955351709705e-07,1.1973955351709705e-07
4,4,4,8,0.6,2.6666666666666665,20,,4,1.276170116082376e-06,1.2440934890411223e-07,1.2440934890411223e-07
5,4,4,8,0.7,2.6666666666666665,21,,5,1.49617641250008e-06,1.3231242151035804e-07,1.3231242151035804e-07
6,4,4,8,0.8,2.6666666666666665,22,,6,1.967670208288625e-06,1.4202144047172528e-07,1.4202144047172528e-07
7,4,4,8,0.9,2.6666666666666665,23,,7,2.9972331788559147e-06,1.8005685589497113e-07,1.8005685589497113e-07
0,4,4,8,0.99,2.6666666666666665,24,,0,5.3346046100743925e-06,3.0691289049889e-07,3.0691289049889e-07
1,4,4,8,0.999,2.6666666666666665,25,,1,6.023324220867945e-06,3.4916853529783084e-07,3.4916853529783084e-07
2,4,6,8,0.001,2.6666666666666665,26,,2,2.5253890825119973e-05,1.8652582343701264e-06,1.8652582343701264e-06
3,4,6,8,0.01,2.6666666666666665,27,,3,3.858419801624645e-05,2.122279894123904e-06,2.122279894123904e-06
4,4,6,8,0.1,2.6666666666666665,28,,4,2.7264025688434795e-06,1.2078704906565082e-07,1.2078704906565082e-07
5,4,6,8,0.2,2.6666666666666665,29,,5,1.7484316302791067e-06,1.1394608351597634e-07,1.1394608351597634e-07
6,4,6,8,0.3,2.6666666666666665,30,,6,1.3835113631854917e-06,1.1799561846386695e-07,1.1799561846386695e-07
7,4,6,8,0.4,2.6666666666666665,31,,7,1.2000374866513139e-06,1.2056987635159525e-07,1.2056987635159525e-07
