Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,mse_comb,mse_tem,mse_trec,mse_tmem,mse_steady,mse_mean,mse_mean2,coef,shift
0,4,2,8,0.001,2.6666666666666665,0,,0,0.0015605478148966812,0.0013469173748135565,0.0001048768311708112,0.0005087703048438603,5.25118337243218e-05,0.0005032690861381374,0.0005774784250894864,-0.07129695838738316,0.3617846121133967
1,4,2,8,0.01,2.6666666666666665,1,,1,0.0018009187605902755,0.001336031593116829,0.0008230588615340976,0.000581915007684825,2.0521074700419026e-05,0.0006903816342590426,0.0008201028319478495,-0.011168890382863476,0.10544383183445658
2,4,2,8,0.1,2.6666666666666665,2,,2,0.0009121630638741162,4.12405836313051e-05,3.1975077265296095e-05,4.1582747086726964e-05,3.960905371838237e-05,3.860186542542763e-05,3.7937187099718625e-05,0.03122559967052751,0.01218547689565921
3,4,2,8,0.2,2.6666666666666665,3,,3,0.0008935288731748952,2.1795869878697852e-05,1.0950646812538422e-05,2.323053431054681e-05,4.604466397394514e-05,2.5505428743932054e-05,2.246137194449409e-05,0.0258687939747842,0.024004575291409574
4,4,2,8,0.3,2.6666666666666665,4,,4,0.0008879800829485111,1.3108322643190816e-05,8.034620997322053e-06,1.7545798525934885e-05,4.707768740474502e-05,2.1441607392798194e-05,1.7818228868617608e-05,0.023750231693696135,0.028105315881869354
5,4,2,8,0.4,2.6666666666666665,5,,5,0.0008857087487797641,8.459469876064376e-06,7.741306062726598e-06,1.62627899046598e-05,4.754545519664652e-05,2.0002255260024322e-05,1.6034966163148048e-05,0.022574089226594783,0.03017204046281794
6,4,2,8,0.5,2.6666666666666665,6,,6,0.0008854346603211849,5.843901394691489e-06,9.507773894088814e-06,1.6538146384833244e-05,4.7690199582762425e-05,1.989500531409399e-05,1.5821949424192713e-05,0.02170684878039835,0.031603034322649284
7,4,2,8,0.6,2.6666666666666665,7,,7,0.0008847695357381472,4.579669510973591e-06,1.3714404527007547e-05,1.8248970796155648e-05,4.7936409176629994e-05,2.1119863502691696e-05,1.7128921341457987e-05,0.021083218885728845,0.032572050786576656
0,4,2,8,0.7,2.6666666666666665,8,,0,0.0008861113940704479,4.853250914011438e-06,2.165652734709637e-05,1.969293477737766e-05,4.83009048966786e-05,2.3625904483791017e-05,2.0168899366045315e-05,0.020622743718655027,0.03324883650803412
1,4,2,8,0.8,2.6666666666666665,9,,1,0.0008891264923080648,8.721316234353658e-06,3.624739578832602e-05,2.2082475278596576e-05,4.94504054022906e-05,2.9125398175891716e-05,2.6911717454374424e-05,0.020483672520134593,0.03333328394530515
2,4,2,8,0.9,2.6666666666666665,10,,2,0.000898519811897213,1.8787954461593974e-05,7.19350367221196e-05,2.539504312165666e-05,5.096082720548726e-05,4.1769715377714375e-05,4.2966975449095183e-05,0.020523820392561655,0.03311578380999705
3,4,2,8,0.99,2.6666666666666665,11,,3,0.0009235221014253764,3.607441446623818e-05,0.00018791283877989028,3.653840993759789e-05,5.270785650266802e-05,7.83083799215986e-05,8.953679548875381e-05,0.02080270687085376,0.032514143029086576
4,4,2,8,0.999,2.6666666666666665,12,,4,0.0009295520820546255,4.089775249875257e-05,0.00022049007889511898,4.1331452217348774e-05,5.330152409656901e-05,8.900520192694734e-05,0.00010290143985027683,0.020960049056974052,0.0322072203270634
5,4,4,8,0.001,2.6666666666666665,13,,5,0.0015566109347989149,0.0013232906824341634,0.00010266526905047662,0.0005186254444416794,5.3297606554189635e-05,0.0004994697506201273,0.0005706391589941916,-0.07181268585498847,0.3644686790358712
6,4,4,8,0.01,2.6666666666666665,14,,6,0.0017992117028457757,0.0013549372466498011,0.0007878210218016431,0.0005998866181209304,2.138517486674718e-05,0.0006910075153597803,0.0008177980549817611,-0.011893002410650994,0.10759319234370218
7,4,4,8,0.1,2.6666666666666665,15,,7,0.0009120687873306058,4.7040516371777684e-05,4.121701848601796e-05,6.95712720614819e-05,3.9449422667621925e-05,4.9319557396724866e-05,4.7589294074115856e-05,0.030197632200555078,0.015344728665858447
0,4,4,8,0.2,2.6666666666666665,16,,0,0.0008883257757863311,2.368337871067802e-05,1.8320536428819656e-05,4.545451016226078e-05,4.745726490932915e-05,3.37289225527719e-05,2.9486600891764215e-05,0.02521535730523325,0.026476743607920156
1,4,4,8,0.3,2.6666666666666665,17,,1,0.0008817952832032581,1.3028873840847265e-05,1.5192974562055921e-05,3.378040741160857e-05,4.9318235475501244e-05,2.7830122822503252e-05,2.3257056615486036e-05,0.02313605966232531,0.030480951884665965
2,4,4,8,0.4,2.6666666666666665,18,,2,0.0008795803165612532,7.971190220555318e-06,1.5936321517510093e-05,2.731219011868351e-05,5.004776583010085e-05,2.5316866921712442e-05,2.08624965708192e-05,0.021916484384804525,0.03259682031669894
3,4,4,8,0.5,2.6666666666666665,19,,3,0.0008789733949177758,5.745909392850976e-06,1.901306939242563e-05,2.3955082715996606e-05,5.064475567283507e-05,2.483970429352707e-05,2.068629932656415e-05,0.021115826536440292,0.03386663738426646
4,4,4,8,0.6,2.6666666666666665,20,,4,0.0008796098124245373,5.037782260860195e-06,2.4102938668820827e-05,2.2788833330807808e-05,5.112750412007937e-05,2.5764264595142047e-05,2.203296321837487e-05,0.020495604840746133,0.034793675965106796
5,4,4,8,0.7,2.6666666666666665,21,,5,0.0008822465118441401,5.802832782046911e-06,3.4391574347059126e-05,2.4131569664738914e-05,5.17805608242572e-05,2.9026634404525538e-05,2.6050157457868033e-05,0.02005271617972315,0.03540662130452813
6,4,4,8,0.8,2.6666666666666665,22,,6,0.0008852153430453339,8.991455266094879e-06,5.3613698672662785e-05,3.0511338066474344e-05,5.271131058529615e-05,3.645695064763204e-05,3.473882608821431e-05,0.019782477170807937,0.03572404792507353
7,4,4,8,0.9,2.6666666666666665,23,,7,0.0008975610778626325,1.5246797730843547e-05,9.884978374576967e-05,4.045700381480917e-05,5.3852337324406606e-05,5.210148065395725e-05,5.375041734874038e-05,0.019690097594379265,0.03576249100067268
