Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
0,4,2,8,0.001,2.6666666666666665,0,,0,-0.07129695838738173,0.3617846121133916,0.0004856926623268096,2.4284633116340478e-05,17498922344572.828
1,4,2,8,0.01,2.6666666666666665,1,,1,-0.011168890382863568,0.10544383183445694,0.0007425657162931904,3.712828581465952e-05,26753749465568.938
2,4,2,8,0.1,2.6666666666666665,2,,2,0.031225599670527515,0.012185476895659176,3.773978311170177e-05,1.8869891555850887e-06,1359718985271.2275
3,4,2,8,0.2,2.6666666666666665,3,,3,0.0258687939747842,0.024004575291409567,2.3136733510961304e-05,1.1568366755480653e-06,833588675348.2864
4,4,2,8,0.3,2.6666666666666665,4,,4,0.02375023169369614,0.028105315881869326,1.9013895195996404e-05,9.506947597998202e-07,685047770556.4084
5,4,2,8,0.4,2.6666666666666665,5,,5,0.02257408922659479,0.030172040462817868,1.7585973611231677e-05,8.792986805615839e-07,633601473619.9229
6,4,2,8,0.5,2.6666666666666665,6,,6,0.021706848780398337,0.0316030343226493,1.763436540512309e-05,8.817182702561546e-07,635344971739.4202
7,4,2,8,0.6,2.6666666666666665,7,,7,0.02108321888572885,0.03257205078657663,1.9182034956753164e-05,9.591017478376581e-07,691105643867.5309
0,4,2,8,0.7,2.6666666666666665,8,,0,0.02062274371865503,0.033248836508034084,2.2391865234797854e-05,1.1195932617398927e-06,806751967420.5277
1,4,2,8,0.8,2.6666666666666665,9,,1,0.02048367252013459,0.03333328394530513,2.917349372067996e-05,1.458674686033998e-06,1051085883596.3981
2,4,2,8,0.9,2.6666666666666665,10,,2,0.020523820392561662,0.03311578380999704,4.514542553356914e-05,2.257271276678457e-06,1626535372883.7153
3,4,2,8,0.99,2.6666666666666665,11,,3,0.020802706870853768,0.032514143029086486,9.263735047757435e-05,4.631867523878718e-06,3337612296731.151
4,4,2,8,0.999,2.6666666666666665,12,,4,0.020960049056974052,0.03220722032706341,0.00010632256100076334,5.316128050038167e-06,3830673968832.9165
5,4,4,8,0.001,2.6666666666666665,13,,5,-0.07181268585498914,0.3644686790358746,0.0004811401249753814,2.405700624876907e-05,17334899900416.973
6,4,4,8,0.01,2.6666666666666665,14,,6,-0.011893002410650924,0.107593192343702,0.000738726027890561,3.6936301394528055e-05,26615410111494.54
7,4,4,8,0.1,2.6666666666666665,15,,7,0.030197632200555075,0.015344728665858447,4.7990224508871495e-05,2.3995112254435747e-06,1729030057724.6406
0,4,4,8,0.2,2.6666666666666665,16,,0,0.02521535730523324,0.02647674360792021,3.091538744207439e-05,1.5457693721037196e-06,1113844218913.1257
1,4,4,8,0.3,2.6666666666666665,17,,1,0.02313605966232531,0.03048095188466597,2.5194488134353352e-05,1.2597244067176675e-06,907727098989.313
2,4,4,8,0.4,2.6666666666666665,18,,2,0.02191648438480452,0.032596820316698916,2.3042501276024237e-05,1.1521250638012118e-06,830193601283.0953
3,4,4,8,0.5,2.6666666666666665,19,,3,0.021115826536440285,0.033866637384266485,2.3011019313328047e-05,1.1505509656664023e-06,829059344039.3557
4,4,4,8,0.6,2.6666666666666665,20,,4,0.020495604840746133,0.03479367596510679,2.4478741589479785e-05,1.2239370794739892e-06,881939612007.0386
5,4,4,8,0.7,2.6666666666666665,21,,5,0.020052716179723148,0.035406621304528124,2.8670185314781652e-05,1.4335092657390826e-06,1032952287202.3496
