Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
0,4,2,8,0.001,2.6666666666666665,0,,0,2.6919601541937194e-05,1.9982185851416482e-06,1.9982185851416482e-06
1,4,2,8,0.01,2.6666666666666665,1,,1,4.0820198003112575e-05,2.222448464183993e-06,2.222448464183993e-06
2,4,2,8,0.1,2.6666666666666665,2,,2,2.070493166999594e-06,1.0389924628626809e-07,1.0389924628626809e-07
3,4,2,8,0.2,2.6666666666666665,3,,3,1.2608250051691724e-06,1.0628594028878652e-07,1.0628594028878652e-07
4,4,2,8,0.3,2.6666666666666665,4,,4,1.032352857208528e-06,1.1084049730434312e-07,1.1084049730434312e-07
5,4,2,8,0.4,2.6666666666666665,5,,5,9.531353630045478e-07,1.1406539041990485e-07,1.1406539041990485e-07
6,4,2,8,0.5,2.6666666666666665,6,,6,9.55849047831672e-07,1.1585787092782345e-07,1.1585787092782345e-07
7,4,2,8,0.6,2.6666666666666665,7,,7,1.041434263985717e-06,1.1831435295115467e-07,1.1831435295115467e-07
0,4,2,8,0.7,2.6666666666666665,8,,0,1.2188559845988318e-06,1.2345559707050502e-07,1.2345559707050502e-07
1,4,2,8,0.8,2.6666666666666665,9,,1,1.5926223614802591e-06,1.329682122588017e-07,1.329682122588017e-07
2,4,2,8,0.9,2.6666666666666665,10,,2,2.4735036052955865e-06,1.6290446899001483e-07,1.6290446899001483e-07
3,4,2,8,0.99,2.6666666666666665,11,,3,5.097109436077648e-06,3.0846139996036944e-07,3.0846139996036944e-07
4,4,2,8,0.999,2.6666666666666665,12,,4,5.8522389218473325e-06,3.3296989960578203e-07,3.3296989960578203e-07
5,4,4,8,0.001,2.6666666666666665,13,,5,2.666846344446138e-05,1.970334860989197e-06,1.970334860989197e-06
6,4,4,8,0.01,2.6666666666666665,14,,6,4.061399412565662e-05,2.223699799259763e-06,2.223699799259763e-06
7,4,4,8,0.1,2.6666666666666665,15,,7,2.6366728959854895e-06,1.2618168874824423e-07,1.2618168874824423e-07
