outer_resampling_id,train_mse,test_mse
0,8.340946179650057e-07,2.5835817564754976e-05
1,8.338364622578694e-07,2.6041880801180944e-05
2,7.641143784608231e-07,2.3809519075373347e-05
3,7.937947329320118e-07,2.5696913663740005e-05
4,8.146386026955213e-07,2.5514598927060145e-05
5,8.391200004064496e-07,2.5886523900501495e-05
6,8.038233349350412e-07,2.6907404277260203e-05
7,7.60500968861439e-07,2.6145117136277665e-05
8,8.295288717808087e-07,2.582880142870377e-05
9,8.148065474623101e-07,2.62061264375068e-05
10,8.327376117067686e-07,2.6679571066919647e-05
11,8.34753770477201e-07,2.675004927711472e-05
12,7.572704526031901e-07,2.5213305489057384e-05
13,8.305325337179956e-07,2.575710102675769e-05
14,8.219988432996222e-07,2.5650556734380558e-05
15,8.262220327786852e-07,2.567772745284892e-05
16,4.000343457841346e-07,1.2995107249217203e-05
17,7.910107919794007e-07,2.8390100125009484e-05
18,8.336061475160664e-07,3.0158248833111107e-05
19,6.581953890320911e-07,2.283134567747851e-05
