resampling_id,gid,train_mse,test_mse
0,233,8.033157496424884e-07,1.8035030578263195e-06
1,233,8.031972474151117e-07,1.87861712886431e-06
2,233,7.378472617918794e-07,2.708327461809948e-05
3,233,7.667895505762247e-07,1.647702981552515e-05
4,233,7.838706867885005e-07,9.973801574592058e-06
5,233,8.082054600986379e-07,6.5596752539447e-09
6,233,7.760076244261667e-07,1.1964505496615196e-05
7,955,7.316593269469257e-07,5.4780434706216106e-05
8,233,7.988093631023734e-07,3.736161406295808e-06
9,233,7.860089240012371e-07,8.955809148767742e-06
10,233,8.038653816560116e-07,1.7675550896599734e-06
11,233,8.061657695030796e-07,8.38057230197376e-07
12,233,7.300607194834223e-07,3.0352488985482056e-05
13,233,7.995925593313876e-07,3.229517041092335e-06
14,233,7.915718849603333e-07,6.19981385917179e-06
15,233,7.954050854193398e-07,4.7180194783658735e-06
16,233,3.857053062109002e-07,0.0002043694982566
17,233,7.660354202667838e-07,2.030857312786024e-05
18,233,8.073885401089439e-07,4.022695615197188e-07
19,233,6.362394144568942e-07,8.300499240478366e-05
