exp_id,id_in_exp,yres,ypred,w
0,0,7.337292131842317e-07,0.01575657995142557,0.2
0,1,3.33771079328297e-06,0.022073059718194663,0.2
0,2,3.0319316663070994e-05,0.029793702090962475,0.2
0,3,2.0407862906604457e-05,0.036282493729212495,0.2
0,4,1.4193687456513757e-06,0.040491372630897395,0.2
1,0,6.3865198364681726e-09,-7.991570456717611e-05,0.14285714285714285
1,1,2.0083434766224408e-11,0.02379551854546311,0.14285714285714285
1,2,2.2231531658681104e-05,0.033715032519366236,0.14285714285714285
1,3,1.0553455333982103e-06,0.037472699881534996,0.14285714285714285
1,4,1.1189332769972938e-05,0.03885495399583609,0.14285714285714285
1,5,5.4267752203555994e-06,0.0393704560059197,0.14285714285714285
1,6,4.8483463055334685e-06,0.039798103929443204,0.14285714285714285
2,0,1.9982258115679688e-05,0.03177015191192421,0.25
2,1,1.5512526077823669e-06,0.02244549291759623,0.25
2,2,4.119291906680438e-06,0.020929603879253397,0.25
2,3,3.2852399015725465e-06,0.016612523076148977,0.25
3,0,0.00011115478521758285,0.06575700302487084,0.25
3,1,1.1548254762990828e-05,0.07199827232031084,0.25
3,2,1.7823330671663443e-07,0.07592217686662894,0.25
3,3,4.519264876448961e-05,0.07842254778818936,0.25
