outer_resampling_id,train_mse
0,3.6242632099147126e-06
1,3.6133208676600426e-06
2,3.253295318817741e-06
3,3.391028036190162e-06
4,3.5242245011525577e-06
5,3.516274290339905e-06
6,3.4084761420098003e-06
7,3.447047306839613e-06
8,3.4734951980265583e-06
9,3.4276920743963145e-06
10,3.4890294356346146e-06
11,3.497411929647763e-06
12,3.2728280280051075e-06
13,3.5937959909775746e-06
14,3.558378088419418e-06
15,3.5676707637386433e-06
16,1.5757789889137197e-06
17,4.0193746538937894e-06
18,4.301527535784746e-06
19,3.2059658763817245e-06
