outer_resampling_id,train_mse
0,9.057879217652561e-07
1,9.021952242848499e-07
2,8.437506090270817e-07
3,8.560696359612584e-07
4,9.04473983624985e-07
5,9.073459821225313e-07
6,8.657532853221917e-07
7,7.614605970401433e-07
8,9.065165947933456e-07
9,8.690963000054422e-07
10,8.850904319115384e-07
11,8.842125399308109e-07
12,8.57908926808335e-07
13,9.072720274771932e-07
14,9.001405449737781e-07
15,9.055514750521966e-07
16,4.701869021980929e-07
17,8.564349053306096e-07
18,9.018990718737453e-07
19,7.32069444648294e-07
