n_im,steady,sample_id
3,1.519634169290317,0
6,2.0304343272801124,0
9,2.2016020288875335,0
12,2.2400942522281335,0
3,1.7091331527488778,1
6,2.133865395979927,1
9,2.1748417175738677,1
12,2.2292216883152878,1
3,1.6501434978302252,2
6,1.6631577370236639,2
9,2.0093090115675083,2
12,2.0683889214821374,2
3,1.6310997634478928,3
6,2.0083333486952797,3
9,2.183454949936831,3
12,2.2087162940973277,3
3,1.9114887389089275,4
6,2.1286639566290853,4
9,2.251486963430508,4
12,2.3063141314121087,4
3,1.577170711137325,5
6,1.8971246108350885,5
9,2.0750299316395457,5
12,2.1783868669650484,5
3,1.5806971083416244,6
6,2.0913783407184314,6
9,2.260285303089792,6
12,2.336141779139411,6
3,1.6606823241315483,7
6,1.7835363149622872,7
9,2.0083794325683977,7
12,2.1617979363474618,7
3,1.4898529195388146,8
6,1.3882495181095702,8
9,1.864459319182869,8
12,2.162564840639828,8
3,1.777871551219307,9
6,1.8273509516186222,9
9,1.9713014498294315,9
12,2.0561361321687115,9
3,1.5457221998459982,10
6,1.8601425623596561,10
9,1.9524171523190792,10
12,2.0233444900225916,10
3,1.5620791262453424,11
6,1.9661076738458214,11
9,1.9855051366550063,11
12,2.151044617317381,11
3,1.436249519677866,12
6,1.8661575616652266,12
9,2.029550356968558,12
12,2.2165445648181152,12
3,1.63585130838477,13
6,1.7958857917418996,13
9,2.0447531924396163,13
12,2.1152795907458772,13
3,1.6204621742940246,14
6,1.859156960595119,14
9,2.0662562101282043,14
12,2.2295381484641563,14
3,1.6159732151291157,15
6,1.9950356789233277,15
9,2.0993080152925137,15
12,2.294118407223334,15
3,1.6880722720689068,16
6,1.6707659255339469,16
9,1.862893375040451,16
12,1.9965909740331567,16
3,1.7184289566139497,17
6,1.919702943285445,17
9,2.0464829575261274,17
12,2.098554517569496,17
3,1.6804553958485293,18
6,2.058086478648367,18
9,2.1685052072742073,18
12,2.255628219662013,18
3,1.270957345861974,19
6,1.7893892524484052,19
9,1.8686584089826335,19
12,2.109069298482043,19
3,1.8547700558486218,20
6,1.9218842966551717,20
9,2.03089129198518,20
12,2.2127265325728662,20
3,1.596394933065022,21
6,1.8496759466979857,21
9,2.0905011820597976,21
12,2.098489213100306,21
3,1.8128877252165376,22
6,2.019427407551663,22
9,2.2009418520112587,22
12,2.2889001759670875,22
3,1.5406311822869214,23
6,2.0323251202769432,23
9,2.07867663912868,23
12,2.269457590823579,23
3,1.5168320891972156,24
6,2.0619600881967486,24
9,2.108492898398321,24
12,2.1795052672141977,24
3,1.6899112935578453,25
6,1.9808737257370639,25
9,2.232139390446837,25
12,2.3074839524838495,25
3,1.719140670134653,26
6,1.9406722814991155,26
9,2.18963925083155,26
12,2.3156534177725043,26
3,1.8053927479391028,27
6,2.085705904438032,27
9,2.218250957359604,27
12,2.21697522396658,27
3,1.7829008769060606,28
6,1.9326002567343576,28
9,2.1310498007712795,28
12,2.338050887856871,28
3,1.578849957031069,29
6,1.7416037273508256,29
9,2.13751010975731,29
12,2.2353115068851954,29
3,1.7866012885363824,30
6,1.9875382583877035,30
9,2.1992104734417106,30
12,2.3235674599487077,30
3,1.871599884402116,31
6,2.0050206465106797,31
9,2.2094326710066747,31
12,2.2748857497516726,31
3,1.4845810343262364,32
6,2.017966505265574,32
9,2.1534168458230525,32
12,2.25318990309498,32
3,1.7017968577682523,33
6,1.8876101033522599,33
9,2.1585106330209487,33
12,2.2349813817530317,33
3,1.461296902728955,34
6,1.8638986134585285,34
9,2.079497489257593,34
12,2.1564766863623386,34
3,1.505596718181516,35
6,1.9420566609372747,35
9,2.121984954507131,35
12,2.2580750236896283,35
3,1.795465240923896,36
6,1.8192904567487391,36
9,2.0682339454967145,36
12,2.1929568113731452,36
3,1.5757934034949164,37
6,1.8305458451190362,37
9,2.090270945793402,37
12,2.2567903980535453,37
3,1.5026750049480502,38
6,1.844154673049321,38
9,2.002217263532561,38
12,2.1060926799763324,38
3,1.541390864721527,39
6,1.8233723365867867,39
9,2.118562877568659,39
12,2.129475990239438,39
3,1.6588821941838487,40
6,1.9362581566068273,40
9,2.0217097882650448,40
12,2.131113781386156,40
3,1.705666456407483,41
6,2.1141727909169403,41
9,2.1555855933548944,41
12,2.2449301601909846,41
3,1.6285972398546769,42
6,2.1538315463069426,42
9,2.255549674041905,42
12,2.3119124612738857,42
3,1.8196726721225225,43
6,1.9579158561088363,43
9,2.1791986833505015,43
12,2.165503079384043,43
3,1.11083625929245,44
6,2.051623041708018,44
9,2.1381818905649252,44
12,2.3140062585122485,44
3,1.6073716891147234,45
6,1.8820633009988954,45
9,2.017390846535197,45
12,2.1793350147366697,45
3,1.500043529903664,46
6,2.013584804164577,46
9,2.2291096557905625,46
12,2.3826463976430583,46
3,1.4393840800570794,47
6,1.8620716644743385,47
9,1.9319856195894158,47
12,2.0929472188816147,47
3,1.4054995430439423,48
6,1.6891572868443911,48
9,1.9791460301127781,48
12,2.143136575841086,48
3,1.4741949049053387,49
6,1.8671555569794627,49
9,2.049580736196169,49
12,2.1420582753471513,49
