resampling_id,train_rss,train_mse,train_nmse
0,2.0258407731598804e-05,1.0662319858736212e-06,0.0024613093559255903
1,2.0296675233629203e-05,1.0682460649278528e-06,0.0023684457677039146
2,1.9570531293707634e-05,1.0300279628267176e-06,0.002235595369488466
3,1.940941155864604e-05,1.021547976770844e-06,0.002219435983013086
4,2.0304895119078798e-05,1.0686786904778314e-06,0.0023195172290254975
5,2.030523993082821e-05,1.0686968384646427e-06,0.0027834967937495495
6,1.6955915774538273e-05,8.924166197125407e-07,0.0019792614055270177
7,1.687477279071254e-05,8.881459363532916e-07,0.00194276615950898
8,2.0235441269186564e-05,1.0650232246940297e-06,0.002310865184796933
9,1.915277360341479e-05,1.0080407159691994e-06,0.0021932054316410898
10,1.9483927249463453e-05,1.0254698552349186e-06,0.0022298723252425438
11,1.9428242733186206e-05,1.0225390912203266e-06,0.002224233338827815
12,1.9580918488440038e-05,1.0305746572863179e-06,0.0022628377342537903
13,2.026458267425334e-05,1.066556982855439e-06,0.002388040830337308
14,2.0222980972817734e-05,1.064367419621986e-06,0.0024068079642058527
15,2.0304955643398756e-05,1.0686818759683556e-06,0.0024683811910380434
16,1.2201507313452346e-05,6.421845954448603e-07,0.0017050924994435569
17,1.942396879120052e-05,1.0223141469052906e-06,0.002514115812850407
18,2.02881654620681e-05,1.0677981822141104e-06,0.0028096228665664066
19,1.7163769489843055e-05,9.033562889391081e-07,0.0022850059782694495
