Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
0,4,2,8,0.0,0.1,2.6666666666666665,0,,0,0.0,2.487497313200969e-05,1.8539291726892492e-06,1.8539291726892492e-06
1,4,2,8,0.0,0.01,2.6666666666666665,1,,1,1.0,2.9447020901990192e-05,2.1795925435228552e-06,2.1795925435228552e-06
2,4,2,8,0.0,0.001,2.6666666666666665,2,,2,2.0,3.743411470104554e-05,2.4027899564535214e-06,2.4027899564535214e-06
3,4,2,8,0.0,0.0001,2.6666666666666665,3,,3,3.0,2.3312396664657656e-05,1.913957539979205e-06,1.913957539979205e-06
4,4,2,8,0.0,1e-05,2.6666666666666665,4,,4,4.0,2.1596460186609378e-05,1.7459671354224956e-06,1.7459671354224956e-06
5,4,2,8,0.0,1e-06,2.6666666666666665,5,,5,5.0,2.1440154963780233e-05,1.7278816788067276e-06,1.7278816788067276e-06
6,4,2,8,0.01,0.1,2.6666666666666665,6,,6,6.0,3.974160118700884e-05,2.131937995966329e-06,2.131937995966329e-06
7,4,2,8,0.01,0.01,2.6666666666666665,7,,7,7.0,3.9787432434351284e-05,2.134884680390477e-06,2.134884680390477e-06
8,4,2,8,0.01,0.001,2.6666666666666665,8,,0,8.0,2.8344535908825588e-05,2.185574144875e-06,2.185574144875e-06
9,4,2,8,0.01,0.0001,2.6666666666666665,9,,1,9.0,1.747178919509535e-05,1.3589037967115592e-06,1.3589037967115592e-06
10,4,2,8,0.01,1e-05,2.6666666666666665,10,,2,10.0,1.678991006794593e-05,1.2808011198255336e-06,1.2808011198255336e-06
11,4,2,8,0.01,1e-06,2.6666666666666665,11,,3,11.0,1.6766542599722543e-05,1.2752766137864596e-06,1.2752766137864596e-06
12,4,2,8,0.1,0.1,2.6666666666666665,12,,4,12.0,3.480067128794818e-05,1.6918661635494337e-06,1.6918661635494337e-06
13,4,2,8,0.1,0.01,2.6666666666666665,13,,5,13.0,4.510456606276737e-06,4.039996656336244e-07,4.039996656336244e-07
14,4,2,8,0.1,0.001,2.6666666666666665,14,,6,14.0,2.3155472178482537e-06,1.8019888668636704e-07,1.8019888668636704e-07
15,4,2,8,0.1,0.0001,2.6666666666666665,15,,7,15.0,1.0771418395145182e-06,9.65032667169835e-08,9.65032667169835e-08
16,4,2,8,0.1,1e-05,2.6666666666666665,16,,0,16.0,1.3465697884949085e-06,1.0559441405229737e-07,1.0559441405229737e-07
17,4,2,8,0.1,1e-06,2.6666666666666665,17,,1,17.0,1.7682831620884438e-06,1.1950050298305757e-07,1.1950050298305757e-07
18,4,2,8,0.2,0.1,2.6666666666666665,18,,2,18.0,3.993386377822034e-05,1.921691854203959e-06,1.921691854203959e-06
19,4,2,8,0.2,0.01,2.6666666666666665,19,,3,19.0,8.616998204848964e-06,6.988059952552533e-07,6.988059952552533e-07
20,4,2,8,0.2,0.001,2.6666666666666665,20,,4,20.0,4.27460722491096e-06,3.6708436039025107e-07,3.6708436039025107e-07
21,4,2,8,0.2,0.0001,2.6666666666666665,21,,5,21.0,1.350226156125064e-06,1.1897461743081172e-07,1.1897461743081172e-07
