Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
0,4,2,8,0.0,0.1,2.6666666666666665,0,,0,0.0,2.622351837589202e-05,1.9562705545182083e-06,1.9562705545182083e-06
1,4,2,8,0.0,0.01,2.6666666666666665,1,,1,1.0,3.100889801937552e-05,2.291615517377675e-06,2.291615517377675e-06
2,4,2,8,0.0,0.001,2.6666666666666665,2,,2,2.0,3.9360421803841586e-05,2.5226246432737796e-06,2.5226246432737796e-06
3,4,2,8,0.0,0.0001,2.6666666666666665,3,,3,3.0,2.4592010058909148e-05,2.0201353892686203e-06,2.0201353892686203e-06
4,4,2,8,0.0,1e-05,2.6666666666666665,4,,4,4.0,2.277753389718186e-05,1.8426780054125337e-06,1.8426780054125337e-06
5,4,2,8,0.0,1e-06,2.6666666666666665,5,,5,5.0,2.261198423905024e-05,1.8235521610195086e-06,1.8235521610195086e-06
6,4,2,8,0.01,0.1,2.6666666666666665,6,,6,6.0,4.168821561520929e-05,2.2426702157594893e-06,2.2426702157594893e-06
7,4,2,8,0.01,0.01,2.6666666666666665,7,,7,7.0,4.173361741787952e-05,2.2418234811832783e-06,2.2418234811832783e-06
8,4,2,8,0.01,0.001,2.6666666666666665,8,,0,8.0,2.9898513298029963e-05,2.3048612130255444e-06,2.3048612130255444e-06
9,4,2,8,0.01,0.0001,2.6666666666666665,9,,1,9.0,1.8421266696244602e-05,1.4331163815563161e-06,1.4331163815563161e-06
10,4,2,8,0.01,1e-05,2.6666666666666665,10,,2,10.0,1.769806482051817e-05,1.3503853419383038e-06,1.3503853419383038e-06
11,4,2,8,0.01,1e-06,2.6666666666666665,11,,3,11.0,1.7672973030243092e-05,1.3445304812775104e-06,1.3445304812775104e-06
12,4,2,8,0.1,0.1,2.6666666666666665,12,,4,12.0,3.652771072753027e-05,1.7910257925269121e-06,1.7910257925269121e-06
