,ksig,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old
0,0.5,8.0,2.0,8,0.2,1e-06,2.6666666666666665,0,,0
1,0.6,8.0,2.0,8,0.2,1e-06,2.6666666666666665,1,,1
2,0.7,8.0,2.0,8,0.2,1e-06,2.6666666666666665,2,,2
3,0.25,8.0,2.0,8,0.2,1e-06,2.6666666666666665,3,,3
4,0.75,8.0,2.0,8,0.2,1e-06,2.6666666666666665,4,,4
5,0.775,8.0,2.0,8,0.2,1e-06,2.6666666666666665,5,,5
6,0.8,8.0,2.0,8,0.2,1e-06,2.6666666666666665,6,,6
7,0.825,8.0,2.0,8,0.2,1e-06,2.6666666666666665,7,,7
0,0.85,8.0,2.0,8,0.2,1e-06,2.6666666666666665,8,,0
1,0.875,8.0,2.0,8,0.2,1e-06,2.6666666666666665,9,,1
2,0.9,8.0,2.0,8,0.2,1e-06,2.6666666666666665,10,,2
3,0.925,8.0,2.0,8,0.2,1e-06,2.6666666666666665,11,,3
4,0.95,8.0,2.0,8,0.2,1e-06,2.6666666666666665,12,,4
5,0.975,8.0,2.0,8,0.2,1e-06,2.6666666666666665,13,,5
6,1.0,8.0,2.0,8,0.2,1e-06,2.6666666666666665,14,,6
7,1.025,8.0,2.0,8,0.2,1e-06,2.6666666666666665,15,,7
0,1.05,8.0,2.0,8,0.2,1e-06,2.6666666666666665,16,,0
1,1.075,8.0,2.0,8,0.2,1e-06,2.6666666666666665,17,,1
2,1.1,8.0,2.0,8,0.2,1e-06,2.6666666666666665,18,,2
3,1.125,8.0,2.0,8,0.2,1e-06,2.6666666666666665,19,,3
4,1.15,8.0,2.0,8,0.2,1e-06,2.6666666666666665,20,,4
5,1.175,8.0,2.0,8,0.2,1e-06,2.6666666666666665,21,,5
6,1.2,8.0,2.0,8,0.2,1e-06,2.6666666666666665,22,,6
7,1.3,8.0,2.0,8,0.2,1e-06,2.6666666666666665,23,,7
0,1.4,8.0,2.0,8,0.2,1e-06,2.6666666666666665,24,,0
1,1.5,8.0,2.0,8,0.2,1e-06,2.6666666666666665,25,,1
