outer_resampling_id,resampling_id,gid,train_mse,test_mse
0,0,412,7.700332697198083e-07,6.492537613183102e-06
0,1,477,7.051545307396149e-07,3.6027423350088884e-05
0,2,477,7.32559558971734e-07,2.74120479019937e-05
0,3,412,7.170874980368852e-07,2.683198311177121e-05
0,4,412,7.89121866924457e-07,2.7823760109069075e-09
0,5,412,7.108069195557746e-07,2.6001273796674983e-05
0,6,477,7.510487962923105e-07,2.0544087794756987e-05
0,7,412,7.707060649699851e-07,6.550277420156002e-06
0,8,412,7.486728540068244e-07,1.4595172242503814e-05
0,9,412,7.811609002471082e-07,2.8994768776113187e-06
0,10,412,7.881797121868323e-07,3.4870451977902e-07
0,11,412,6.952794748078828e-07,3.2770029359767594e-05
0,12,412,7.801481823205806e-07,3.0172756628369235e-06
0,13,412,7.705834536581589e-07,6.2001316226913295e-06
0,14,412,7.633230021669322e-07,8.542209809557232e-06
0,15,477,4.774182233211195e-07,0.0001439764809024
0,16,412,7.33741492135311e-07,2.3929268972219047e-05
0,17,412,7.880821115712632e-07,4.5304310392839053e-07
0,18,412,6.853692326428348e-07,4.488017289072756e-05
1,0,412,7.700332697198083e-07,5.645713570997291e-05
1,1,477,7.387577155787793e-07,3.815352827259074e-05
1,2,477,7.657534342609185e-07,2.9755051623653878e-05
1,3,477,8.112159301985926e-07,1.4153978400397324e-05
1,4,477,8.493895059291588e-07,1.098339134218962e-09
1,5,477,8.482734668491121e-07,3.768053250422832e-07
1,6,477,7.955325119755368e-07,1.888160025585137e-05
1,7,477,8.411666015360111e-07,2.9447714546136184e-06
1,8,477,8.088851438868617e-07,1.465613459518533e-05
1,9,477,8.385015916206979e-07,3.968640965113825e-06
1,10,477,8.461986429675782e-07,1.1722195393043978e-06
1,11,477,7.651199457874749e-07,2.9444192100163503e-05
1,12,477,8.344318887135226e-07,5.038496933011688e-06
1,13,477,8.493718421128905e-07,6.996664799955442e-09
1,14,477,8.322456110489168e-07,5.671453250767032e-06
1,15,477,5.193362829924373e-07,0.0001430102140978
1,16,477,7.941465282994968e-07,2.38677123434141e-05
1,17,477,8.492641562163079e-07,5.564276845173404e-08
1,18,477,7.267310400840459e-07,5.3073843096569824e-05
2,0,477,7.051545307396149e-07,1.1853856272716369e-05
2,1,477,7.387577155787793e-07,7.062896037015449e-07
2,2,477,6.428415042040724e-07,3.4947042208805206e-05
2,3,477,7.129158894031644e-07,1.0392219966769917e-05
2,4,477,7.40849735808914e-07,1.0737218812149401e-09
2,5,477,7.385210145371109e-07,7.856801906050863e-07
2,6,477,6.964268047296709e-07,1.560385096164197e-05
2,7,477,7.275926383111217e-07,4.758354754158915e-06
2,8,477,6.892219972027376e-07,1.8731125735543956e-05
2,9,477,7.236756827712369e-07,6.2772588162037365e-06
2,10,477,7.337976954922032e-07,2.5971105426157582e-06
2,11,477,6.682119313630968e-07,2.542613662604232e-05
2,12,477,7.293069481321387e-07,3.891983979180608e-06
2,13,477,7.407975454107966e-07,1.8456369679118117e-08
2,14,477,7.264198620514078e-07,4.7760642263633775e-06
2,15,477,4.1547207661667457e-07,0.0001409940255849
2,16,477,6.853476318152194e-07,2.397965784463396e-05
2,17,477,7.406838324907119e-07,7.313849474680851e-08
2,18,477,6.202711401969345e-07,5.217579090341573e-05
3,0,477,7.32559558971734e-07,1.1762020867388663e-05
3,1,477,7.657534342609185e-07,7.429410379779105e-07
3,2,477,6.428415042040724e-07,4.329727959646812e-05
3,3,477,7.406043443348718e-07,1.0219882007428648e-05
3,4,477,7.679514950436675e-07,1.071892499259871e-09
3,5,477,7.655115812156763e-07,8.241356653870768e-07
3,6,477,7.240925415263359e-07,1.5445132769691294e-05
3,7,477,7.542270938995233e-07,4.942157214487672e-06
3,8,477,7.152558889943195e-07,1.918820368979957e-05
3,9,477,7.501842075515349e-07,6.519335193508066e-06
3,10,477,7.605205065043248e-07,2.7479463781858275e-06
3,11,477,6.959838973023365e-07,2.5253064742195437e-05
3,12,477,7.566333003313035e-07,3.820954954209316e-06
3,13,477,7.678850196383373e-07,2.3223082637385383e-08
3,14,477,7.53706503126817e-07,4.717934457355578e-06
3,15,477,4.428936489270698e-07,0.0001408684947285
3,16,477,7.124299048447312e-07,2.398811387723037e-05
3,17,477,7.677823351568222e-07,7.454472994128228e-08
3,18,477,6.475221075259988e-07,5.21137871950287e-05
4,0,412,7.170874980368852e-07,6.0148004155012245e-05
4,1,477,8.112159301985926e-07,8.090839868540045e-08
4,2,477,7.129158894031644e-07,3.419504420068154e-05
4,3,477,7.406043443348718e-07,2.544661987253517e-05
4,4,477,8.114517930464218e-07,1.1240683697941474e-09
4,5,413,7.803719934582087e-07,4.812321818915616e-05
4,6,419,7.135116208450289e-07,4.679958208915276e-05
4,7,477,8.071111954581285e-07,1.5709746061858404e-06
4,8,477,7.805659903241351e-07,1.1303615225971864e-05
4,9,477,8.054590487634931e-07,2.2115927789271178e-06
4,10,477,8.106463601985464e-07,3.007058823947643e-07
4,11,477,7.133560083793504e-07,3.4536674073622626e-05
4,12,477,7.924151748241675e-07,6.436770716204729e-06
4,13,477,8.11164684190406e-07,9.680655962544713e-08
4,14,477,7.912088540802433e-07,6.710001740799581e-06
4,15,477,4.764121923974116e-07,0.0001452127219943
4,16,477,7.564755696284861e-07,2.3752625968646067e-05
4,17,477,8.113625377472197e-07,4.007856496465557e-08
4,18,477,6.866018354385681e-07,5.403037509611091e-05
5,0,412,7.89121866924457e-07,5.494282590801573e-05
5,1,477,8.493895059291588e-07,2.965742343970915e-07
5,2,477,7.40849735808914e-07,3.764649301038459e-05
5,3,477,7.679514950436675e-07,2.918113264377993e-05
5,4,477,8.114517930464218e-07,1.4316773534312907e-05
5,5,477,8.49227143499945e-07,3.5100829914093134e-07
5,6,477,7.95817013503212e-07,1.9032827532117918e-05
5,7,477,8.424053153787856e-07,2.805087391579041e-06
5,8,477,8.107092040922134e-07,1.4253257340785502e-05
5,9,477,8.398419234435695e-07,3.7831344322710186e-06
5,10,477,8.473208938926566e-07,1.0775535706144688e-06
5,11,477,7.653165068876432e-07,2.959771976121635e-05
5,12,477,8.350552987592621e-07,5.117040151674895e-06
5,13,477,8.502412123602551e-07,1.0027919982638677e-08
5,14,477,8.329220817917971e-07,5.733916945125972e-06
5,15,477,5.198943170423823e-07,0.0001431334623876
5,16,477,7.950447101599624e-07,2.3859171137993903e-05
5,17,477,8.501455136780388e-07,5.441539290185622e-08
5,18,477,7.274583694943319e-07,5.313618630273892e-05
6,0,412,7.108069195557746e-07,5.281187862848219e-05
6,1,477,8.482734668491121e-07,3.2230571003238285e-07
6,2,477,7.385210145371109e-07,3.81780012124414e-05
6,3,477,7.655115812156763e-07,2.9781949173122097e-05
6,4,413,7.803719934582087e-07,2.7874102293684853e-05
6,5,477,8.49227143499945e-07,1.098187382680581e-09
6,6,477,7.95433399408261e-07,1.8858695061282386e-05
6,7,413,8.064408633047346e-07,1.7133082719196147e-05
6,8,477,8.086616986653124e-07,1.4677424194023744e-05
6,9,477,8.383059255186124e-07,3.980541372468308e-06
6,10,477,8.460175031250231e-07,1.1790362421188491e-06
6,11,477,7.65035505488237e-07,2.9415875676169663e-05
6,12,477,8.342921566790615e-07,5.030781539882576e-06
6,13,413,8.438805111718155e-07,3.678361656434237e-06
6,14,477,8.321008124079246e-07,5.66558802859412e-06
6,15,477,5.192032878038252e-07,0.0001429972872842
6,16,477,7.939825811171732e-07,2.386839618460529e-05
6,17,477,8.49101562063296e-07,5.5742706807970346e-08
