outer_resampling_id,train_mse,test_mse
0,7.346566918039694e-07,2.2709177859403053e-05
1,7.939134268304291e-07,2.3194185038728303e-05
2,6.934876935187161e-07,1.8841532463347666e-05
3,7.19175730176863e-07,1.9292117056837907e-05
4,7.542072905659649e-07,2.636828653586036e-05
5,7.957981000387725e-07,2.3069926731401778e-05
6,7.869341855946565e-07,2.4662018921524333e-05
7,7.431988659153137e-07,2.4786661396085377e-05
8,7.857303588450434e-07,2.5801494063324895e-05
9,7.581173060581e-07,2.225713910998097e-05
10,7.857735167837169e-07,2.2966003112894518e-05
11,7.928108033398076e-07,2.318129279768898e-05
12,7.152882660614204e-07,2.165532983405286e-05
13,7.81734379498218e-07,2.2876735679630048e-05
14,7.944688076910013e-07,2.5847173251538595e-05
15,7.789491643801159e-07,2.284036113217274e-05
16,4.888732038043406e-07,1.1979220724034492e-05
17,7.41576196418859e-07,2.4025817743394034e-05
18,7.92292260600532e-07,2.6140216937472056e-05
19,6.804168684005681e-07,2.141929409546812e-05
