resampling_id,gid,train_mse,test_mse
0,412,7.082500478088926e-07,5.494276352650749e-05
1,477,7.623360062606577e-07,2.965761767276981e-07
2,477,6.649207427254453e-07,3.764652096763138e-05
3,477,6.892447542564021e-07,2.918116342505554e-05
4,477,7.282867174939506e-07,1.4316746232676056e-05
5,477,7.63124484007348e-07,1.1002112953838492e-09
6,477,7.621902844356812e-07,3.510103978442181e-07
7,477,7.142543875316799e-07,1.903280443054702e-05
8,477,7.560676268714237e-07,2.805097379247217e-06
9,477,7.276201132624558e-07,1.4253281074171784e-05
10,477,7.53766958449782e-07,3.7831471692158182e-06
11,477,7.604794004636457e-07,1.077560622410244e-06
12,477,6.868799847571254e-07,2.959769158118576e-05
13,477,7.49470982837057e-07,5.11703204673418e-06
14,477,7.631004246422657e-07,1.0027633121180373e-08
15,477,7.475564010009493e-07,5.733910765755981e-06
16,477,4.66611825318537e-07,0.0001431334489762
17,477,7.135611793785609e-07,2.385917186778342e-05
18,477,7.630145334181625e-07,5.44154982059725e-08
19,477,6.529019843914826e-07,5.313618037048272e-05
