,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old
0,8,2,0.8,8,0.0,0.1,2.6666666666666665,0,,0
1,8,2,0.8,8,0.0,0.01,2.6666666666666665,1,,1
2,8,2,0.8,8,0.0,0.001,2.6666666666666665,2,,2
3,8,2,0.8,8,0.0,0.0001,2.6666666666666665,3,,3
4,8,2,0.8,8,0.0,1e-05,2.6666666666666665,4,,4
5,8,2,0.8,8,0.0,1e-06,2.6666666666666665,5,,5
6,8,2,0.8,8,0.01,0.1,2.6666666666666665,6,,6
7,8,2,0.8,8,0.01,0.01,2.6666666666666665,7,,7
8,8,2,0.8,8,0.01,0.001,2.6666666666666665,8,,0
9,8,2,0.8,8,0.01,0.0001,2.6666666666666665,9,,1
10,8,2,0.8,8,0.01,1e-05,2.6666666666666665,10,,2
11,8,2,0.8,8,0.01,1e-06,2.6666666666666665,11,,3
12,8,2,0.8,8,0.1,0.1,2.6666666666666665,12,,4
13,8,2,0.8,8,0.1,0.01,2.6666666666666665,13,,5
14,8,2,0.8,8,0.1,0.001,2.6666666666666665,14,,6
15,8,2,0.8,8,0.1,0.0001,2.6666666666666665,15,,7
16,8,2,0.8,8,0.1,1e-05,2.6666666666666665,16,,0
17,8,2,0.8,8,0.1,1e-06,2.6666666666666665,17,,1
18,8,2,0.8,8,0.2,0.1,2.6666666666666665,18,,2
19,8,2,0.8,8,0.2,0.01,2.6666666666666665,19,,3
20,8,2,0.8,8,0.2,0.001,2.6666666666666665,20,,4
21,8,2,0.8,8,0.2,0.0001,2.6666666666666665,21,,5
22,8,2,0.8,8,0.2,1e-05,2.6666666666666665,22,,6
23,8,2,0.8,8,0.2,1e-06,2.6666666666666665,23,,7
24,8,2,0.8,8,0.3,0.1,2.6666666666666665,24,,0
25,8,2,0.8,8,0.3,0.01,2.6666666666666665,25,,1
26,8,2,0.8,8,0.3,0.001,2.6666666666666665,26,,2
27,8,2,0.8,8,0.3,0.0001,2.6666666666666665,27,,3
28,8,2,0.8,8,0.3,1e-05,2.6666666666666665,28,,4
29,8,2,0.8,8,0.3,1e-06,2.6666666666666665,29,,5
30,8,2,0.8,8,0.4,0.1,2.6666666666666665,30,,6
31,8,2,0.8,8,0.4,0.01,2.6666666666666665,31,,7
32,8,2,0.8,8,0.4,0.001,2.6666666666666665,32,,0
33,8,2,0.8,8,0.4,0.0001,2.6666666666666665,33,,1
34,8,2,0.8,8,0.4,1e-05,2.6666666666666665,34,,2
35,8,2,0.8,8,0.4,1e-06,2.6666666666666665,35,,3
36,8,2,0.8,8,0.5,0.1,2.6666666666666665,36,,4
37,8,2,0.8,8,0.5,0.01,2.6666666666666665,37,,5
38,8,2,0.8,8,0.5,0.001,2.6666666666666665,38,,6
39,8,2,0.8,8,0.5,0.0001,2.6666666666666665,39,,7
40,8,2,0.8,8,0.5,1e-05,2.6666666666666665,40,,0
41,8,2,0.8,8,0.5,1e-06,2.6666666666666665,41,,1
42,8,2,0.8,8,0.6,0.1,2.6666666666666665,42,,2
43,8,2,0.8,8,0.6,0.01,2.6666666666666665,43,,3
44,8,2,0.8,8,0.6,0.001,2.6666666666666665,44,,4
45,8,2,0.8,8,0.6,0.0001,2.6666666666666665,45,,5
46,8,2,0.8,8,0.6,1e-05,2.6666666666666665,46,,6
47,8,2,0.8,8,0.6,1e-06,2.6666666666666665,47,,7
48,8,2,0.8,8,0.7,0.1,2.6666666666666665,48,,0
49,8,2,0.8,8,0.7,0.01,2.6666666666666665,49,,1
50,8,2,0.8,8,0.7,0.001,2.6666666666666665,50,,2
51,8,2,0.8,8,0.7,0.0001,2.6666666666666665,51,,3
52,8,2,0.8,8,0.7,1e-05,2.6666666666666665,52,,4
53,8,2,0.8,8,0.7,1e-06,2.6666666666666665,53,,5
54,8,2,0.8,8,0.8,0.1,2.6666666666666665,54,,6
55,8,2,0.8,8,0.8,0.01,2.6666666666666665,55,,7
56,8,2,0.8,8,0.8,0.001,2.6666666666666665,56,,0
57,8,2,0.8,8,0.8,0.0001,2.6666666666666665,57,,1
58,8,2,0.8,8,0.8,1e-05,2.6666666666666665,58,,2
59,8,2,0.8,8,0.8,1e-06,2.6666666666666665,59,,3
60,8,2,0.8,8,0.9,0.1,2.6666666666666665,60,,4
61,8,2,0.8,8,0.9,0.01,2.6666666666666665,61,,5
62,8,2,0.8,8,0.9,0.001,2.6666666666666665,62,,6
63,8,2,0.8,8,0.9,0.0001,2.6666666666666665,63,,7
64,8,2,0.8,8,0.9,1e-05,2.6666666666666665,64,,0
65,8,2,0.8,8,0.9,1e-06,2.6666666666666665,65,,1
66,8,2,0.825,8,0.0,0.1,2.6666666666666665,66,,2
67,8,2,0.825,8,0.0,0.01,2.6666666666666665,67,,3
68,8,2,0.825,8,0.0,0.001,2.6666666666666665,68,,4
69,8,2,0.825,8,0.0,0.0001,2.6666666666666665,69,,5
70,8,2,0.825,8,0.0,1e-05,2.6666666666666665,70,,6
71,8,2,0.825,8,0.0,1e-06,2.6666666666666665,71,,7
72,8,2,0.825,8,0.01,0.1,2.6666666666666665,72,,0
73,8,2,0.825,8,0.01,0.01,2.6666666666666665,73,,1
74,8,2,0.825,8,0.01,0.001,2.6666666666666665,74,,2
75,8,2,0.825,8,0.01,0.0001,2.6666666666666665,75,,3
76,8,2,0.825,8,0.01,1e-05,2.6666666666666665,76,,4
77,8,2,0.825,8,0.01,1e-06,2.6666666666666665,77,,5
78,8,2,0.825,8,0.1,0.1,2.6666666666666665,78,,6
79,8,2,0.825,8,0.1,0.01,2.6666666666666665,79,,7
80,8,2,0.825,8,0.1,0.001,2.6666666666666665,80,,0
81,8,2,0.825,8,0.1,0.0001,2.6666666666666665,81,,1
82,8,2,0.825,8,0.1,1e-05,2.6666666666666665,82,,2
83,8,2,0.825,8,0.1,1e-06,2.6666666666666665,83,,3
84,8,2,0.825,8,0.2,0.1,2.6666666666666665,84,,4
85,8,2,0.825,8,0.2,0.01,2.6666666666666665,85,,5
86,8,2,0.825,8,0.2,0.001,2.6666666666666665,86,,6
87,8,2,0.825,8,0.2,0.0001,2.6666666666666665,87,,7
88,8,2,0.825,8,0.2,1e-05,2.6666666666666665,88,,0
89,8,2,0.825,8,0.2,1e-06,2.6666666666666665,89,,1
90,8,2,0.825,8,0.3,0.1,2.6666666666666665,90,,2
91,8,2,0.825,8,0.3,0.01,2.6666666666666665,91,,3
92,8,2,0.825,8,0.3,0.001,2.6666666666666665,92,,4
93,8,2,0.825,8,0.3,0.0001,2.6666666666666665,93,,5
94,8,2,0.825,8,0.3,1e-05,2.6666666666666665,94,,6
95,8,2,0.825,8,0.3,1e-06,2.6666666666666665,95,,7
96,8,2,0.825,8,0.4,0.1,2.6666666666666665,96,,0
97,8,2,0.825,8,0.4,0.01,2.6666666666666665,97,,1
98,8,2,0.825,8,0.4,0.001,2.6666666666666665,98,,2
99,8,2,0.825,8,0.4,0.0001,2.6666666666666665,99,,3
100,8,2,0.825,8,0.4,1e-05,2.6666666666666665,100,,4
101,8,2,0.825,8,0.4,1e-06,2.6666666666666665,101,,5
102,8,2,0.825,8,0.5,0.1,2.6666666666666665,102,,6
103,8,2,0.825,8,0.5,0.01,2.6666666666666665,103,,7
104,8,2,0.825,8,0.5,0.001,2.6666666666666665,104,,0
105,8,2,0.825,8,0.5,0.0001,2.6666666666666665,105,,1
106,8,2,0.825,8,0.5,1e-05,2.6666666666666665,106,,2
107,8,2,0.825,8,0.5,1e-06,2.6666666666666665,107,,3
108,8,2,0.825,8,0.6,0.1,2.6666666666666665,108,,4
109,8,2,0.825,8,0.6,0.01,2.6666666666666665,109,,5
110,8,2,0.825,8,0.6,0.001,2.6666666666666665,110,,6
111,8,2,0.825,8,0.6,0.0001,2.6666666666666665,111,,7
112,8,2,0.825,8,0.6,1e-05,2.6666666666666665,112,,0
113,8,2,0.825,8,0.6,1e-06,2.6666666666666665,113,,1
114,8,2,0.825,8,0.7,0.1,2.6666666666666665,114,,2
115,8,2,0.825,8,0.7,0.01,2.6666666666666665,115,,3
116,8,2,0.825,8,0.7,0.001,2.6666666666666665,116,,4
117,8,2,0.825,8,0.7,0.0001,2.6666666666666665,117,,5
118,8,2,0.825,8,0.7,1e-05,2.6666666666666665,118,,6
119,8,2,0.825,8,0.7,1e-06,2.6666666666666665,119,,7
120,8,2,0.825,8,0.8,0.1,2.6666666666666665,120,,0
121,8,2,0.825,8,0.8,0.01,2.6666666666666665,121,,1
122,8,2,0.825,8,0.8,0.001,2.6666666666666665,122,,2
123,8,2,0.825,8,0.8,0.0001,2.6666666666666665,123,,3
124,8,2,0.825,8,0.8,1e-05,2.6666666666666665,124,,4
125,8,2,0.825,8,0.8,1e-06,2.6666666666666665,125,,5
126,8,2,0.825,8,0.9,0.1,2.6666666666666665,126,,6
127,8,2,0.825,8,0.9,0.01,2.6666666666666665,127,,7
128,8,2,0.825,8,0.9,0.001,2.6666666666666665,128,,0
129,8,2,0.825,8,0.9,0.0001,2.6666666666666665,129,,1
130,8,2,0.825,8,0.9,1e-05,2.6666666666666665,130,,2
131,8,2,0.825,8,0.9,1e-06,2.6666666666666665,131,,3
132,8,2,0.85,8,0.0,0.1,2.6666666666666665,132,,4
133,8,2,0.85,8,0.0,0.01,2.6666666666666665,133,,5
134,8,2,0.85,8,0.0,0.001,2.6666666666666665,134,,6
135,8,2,0.85,8,0.0,0.0001,2.6666666666666665,135,,7
136,8,2,0.85,8,0.0,1e-05,2.6666666666666665,136,,0
137,8,2,0.85,8,0.0,1e-06,2.6666666666666665,137,,1
138,8,2,0.85,8,0.01,0.1,2.6666666666666665,138,,2
139,8,2,0.85,8,0.01,0.01,2.6666666666666665,139,,3
140,8,2,0.85,8,0.01,0.001,2.6666666666666665,140,,4
141,8,2,0.85,8,0.01,0.0001,2.6666666666666665,141,,5
142,8,2,0.85,8,0.01,1e-05,2.6666666666666665,142,,6
143,8,2,0.85,8,0.01,1e-06,2.6666666666666665,143,,7
144,8,2,0.85,8,0.1,0.1,2.6666666666666665,144,,0
