Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
0,8,2,0.8,8,0.0,0.1,2.6666666666666665,0,,0,2.1629448008543677e-05,1.7156514924131314e-06,1.7156514924131314e-06
1,8,2,0.8,8,0.0,0.01,2.6666666666666665,1,,1,1.8559468321051454e-05,1.408103501446689e-06,1.408103501446689e-06
2,8,2,0.8,8,0.0,0.001,2.6666666666666665,2,,2,1.8041441926872845e-05,1.3438107144589731e-06,1.3438107144589731e-06
3,8,2,0.8,8,0.0,0.0001,2.6666666666666665,3,,3,1.8907742132707715e-05,1.4147788545638624e-06,1.4147788545638624e-06
4,8,2,0.8,8,0.0,1e-05,2.6666666666666665,4,,4,1.9664293292149207e-05,1.4792981421492449e-06,1.4792981421492449e-06
5,8,2,0.8,8,0.0,1e-06,2.6666666666666665,5,,5,2.0225834098772365e-05,1.5270929212715e-06,1.5270929212715e-06
6,8,2,0.8,8,0.01,0.1,2.6666666666666665,6,,6,6.7526924886737355e-06,4.396447505885153e-07,4.396447505885153e-07
7,8,2,0.8,8,0.01,0.01,2.6666666666666665,7,,7,9.373347931166076e-06,6.047213692145881e-07,6.047213692145881e-07
8,8,2,0.8,8,0.01,0.001,2.6666666666666665,8,,0,1.1472749089451924e-05,7.453773091895623e-07,7.453773091895623e-07
9,8,2,0.8,8,0.01,0.0001,2.6666666666666665,9,,1,1.3517610809056184e-05,9.070499547484141e-07,9.070499547484141e-07
10,8,2,0.8,8,0.01,1e-05,2.6666666666666665,10,,2,1.5091178459557123e-05,1.0413788343062117e-06,1.0413788343062117e-06
11,8,2,0.8,8,0.01,1e-06,2.6666666666666665,11,,3,1.6268798370171013e-05,1.1451615855227654e-06,1.1451615855227654e-06
12,8,2,0.8,8,0.1,0.1,2.6666666666666665,12,,4,3.537305177516205e-06,2.3790618922129076e-07,2.3790618922129076e-07
13,8,2,0.8,8,0.1,0.01,2.6666666666666665,13,,5,2.932851643613402e-06,1.7982857147400064e-07,1.7982857147400064e-07
14,8,2,0.8,8,0.1,0.001,2.6666666666666665,14,,6,3.027859519489799e-06,1.77328526094479e-07,1.77328526094479e-07
15,8,2,0.8,8,0.1,0.0001,2.6666666666666665,15,,7,3.1217552904391075e-06,1.903235759107443e-07,1.903235759107443e-07
16,8,2,0.8,8,0.1,1e-05,2.6666666666666665,16,,0,3.21577017932605e-06,1.9911190944690449e-07,1.9911190944690449e-07
17,8,2,0.8,8,0.1,1e-06,2.6666666666666665,17,,1,3.325249827849977e-06,2.0548157594325055e-07,2.0548157594325055e-07
18,8,2,0.8,8,0.2,0.1,2.6666666666666665,18,,2,5.6519721692520935e-06,3.715442828968868e-07,3.715442828968868e-07
19,8,2,0.8,8,0.2,0.01,2.6666666666666665,19,,3,3.5018945048611325e-06,2.598371868299168e-07,2.598371868299168e-07
20,8,2,0.8,8,0.2,0.001,2.6666666666666665,20,,4,3.1558840061932242e-06,2.0959607697989682e-07,2.0959607697989682e-07
21,8,2,0.8,8,0.2,0.0001,2.6666666666666665,21,,5,3.2022517775857624e-06,1.9407468637017796e-07,1.9407468637017796e-07
22,8,2,0.8,8,0.2,1e-05,2.6666666666666665,22,,6,3.285399529950705e-06,1.8913912017836557e-07,1.8913912017836557e-07
23,8,2,0.8,8,0.2,1e-06,2.6666666666666665,23,,7,3.342661316289346e-06,1.8913786549816286e-07,1.8913786549816286e-07
24,8,2,0.8,8,0.3,0.1,2.6666666666666665,24,,0,7.80684507082447e-06,4.819337115353342e-07,4.819337115353342e-07
25,8,2,0.8,8,0.3,0.01,2.6666666666666665,25,,1,4.44051211458083e-06,3.3739647297489644e-07,3.3739647297489644e-07
26,8,2,0.8,8,0.3,0.001,2.6666666666666665,26,,2,3.4051704349052276e-06,2.6028155949827077e-07,2.6028155949827077e-07
27,8,2,0.8,8,0.3,0.0001,2.6666666666666665,27,,3,3.1647712247769846e-06,2.1715235752633217e-07,2.1715235752633217e-07
28,8,2,0.8,8,0.3,1e-05,2.6666666666666665,28,,4,3.167595650119218e-06,1.9691393953771322e-07,1.9691393953771322e-07
29,8,2,0.8,8,0.3,1e-06,2.6666666666666665,29,,5,3.2249406965730394e-06,1.883659451672302e-07,1.883659451672302e-07
30,8,2,0.8,8,0.4,0.1,2.6666666666666665,30,,6,1.0002287085882319e-05,5.935905546952121e-07,5.935905546952121e-07
31,8,2,0.8,8,0.4,0.01,2.6666666666666665,31,,7,5.580781656825118e-06,4.033872369986994e-07,4.033872369986994e-07
32,8,2,0.8,8,0.4,0.001,2.6666666666666665,32,,0,4.083226116531246e-06,3.2111771865034775e-07,3.2111771865034775e-07
33,8,2,0.8,8,0.4,0.0001,2.6666666666666665,33,,1,3.348310905048311e-06,2.57271423146503e-07,2.57271423146503e-07
34,8,2,0.8,8,0.4,1e-05,2.6666666666666665,34,,2,3.130725938031491e-06,2.1853533776909466e-07,2.1853533776909466e-07
35,8,2,0.8,8,0.4,1e-06,2.6666666666666665,35,,3,3.108267844661873e-06,1.9793569620318662e-07,1.9793569620318662e-07
36,8,2,0.8,8,0.5,0.1,2.6666666666666665,36,,4,1.2451427381112772e-05,7.286877536654542e-07,7.286877536654542e-07
37,8,2,0.8,8,0.5,0.01,2.6666666666666665,37,,5,6.6700287951799505e-06,4.621963068710893e-07,4.621963068710893e-07
38,8,2,0.8,8,0.5,0.001,2.6666666666666665,38,,6,5.051497946181355e-06,3.828733374496035e-07,3.828733374496035e-07
39,8,2,0.8,8,0.5,0.0001,2.6666666666666665,39,,7,3.98166666852173e-06,3.1404455720163496e-07,3.1404455720163496e-07
40,8,2,0.8,8,0.5,1e-05,2.6666666666666665,40,,0,3.352411885653872e-06,2.584679251670674e-07,2.584679251670674e-07
41,8,2,0.8,8,0.5,1e-06,2.6666666666666665,41,,1,3.1179424582292125e-06,2.2302129308020187e-07,2.2302129308020187e-07
42,8,2,0.8,8,0.6,0.1,2.6666666666666665,42,,2,1.5403621190222963e-05,9.109978172796594e-07,9.109978172796594e-07
43,8,2,0.8,8,0.6,0.01,2.6666666666666665,43,,3,7.71373708652694e-06,5.161146570409279e-07,5.161146570409279e-07
44,8,2,0.8,8,0.6,0.001,2.6666666666666665,44,,4,6.003635427481855e-06,4.471582814218346e-07,4.471582814218346e-07
45,8,2,0.8,8,0.6,0.0001,2.6666666666666665,45,,5,4.933124791291194e-06,3.774692220751553e-07,3.774692220751553e-07
46,8,2,0.8,8,0.6,1e-05,2.6666666666666665,46,,6,4.062822308183844e-06,3.1900963306160004e-07,3.1900963306160004e-07
47,8,2,0.8,8,0.6,1e-06,2.6666666666666665,47,,7,3.4541094785869925e-06,2.686175533786126e-07,2.686175533786126e-07
48,8,2,0.8,8,0.7,0.1,2.6666666666666665,48,,0,1.898070181780516e-05,1.1596362042931135e-06,1.1596362042931135e-06
49,8,2,0.8,8,0.7,0.01,2.6666666666666665,49,,1,8.955962503077365e-06,5.725786612226189e-07,5.725786612226189e-07
50,8,2,0.8,8,0.7,0.001,2.6666666666666665,50,,2,6.880532380276829e-06,5.064907165821048e-07,5.064907165821048e-07
51,8,2,0.8,8,0.7,0.0001,2.6666666666666665,51,,3,5.8813435969555625e-06,4.5055984447409593e-07,4.5055984447409593e-07
52,8,2,0.8,8,0.7,1e-05,2.6666666666666665,52,,4,5.065804203272726e-06,3.888556188898813e-07,3.888556188898813e-07
53,8,2,0.8,8,0.7,1e-06,2.6666666666666665,53,,5,4.335620031732157e-06,3.3774028425589234e-07,3.3774028425589234e-07
54,8,2,0.8,8,0.8,0.1,2.6666666666666665,54,,6,2.284646675371108e-05,1.447044910291548e-06,1.447044910291548e-06
55,8,2,0.8,8,0.8,0.01,2.6666666666666665,55,,7,1.1398240205238372e-05,6.796538770648627e-07,6.796538770648627e-07
56,8,2,0.8,8,0.8,0.001,2.6666666666666665,56,,0,7.641650213493455e-06,5.508815922788476e-07,5.508815922788476e-07
57,8,2,0.8,8,0.8,0.0001,2.6666666666666665,57,,1,6.84457611916383e-06,5.244985519350551e-07,5.244985519350551e-07
58,8,2,0.8,8,0.8,1e-05,2.6666666666666665,58,,2,6.047694788586525e-06,4.7310983829240904e-07,4.7310983829240904e-07
59,8,2,0.8,8,0.8,1e-06,2.6666666666666665,59,,3,5.4477865676617875e-06,4.238924208886133e-07,4.238924208886133e-07
60,8,2,0.8,8,0.9,0.1,2.6666666666666665,60,,4,2.598352203756499e-05,1.6764619656926707e-06,1.6764619656926707e-06
61,8,2,0.8,8,0.9,0.01,2.6666666666666665,61,,5,1.864144323606502e-05,1.1258106791844636e-06,1.1258106791844636e-06
62,8,2,0.8,8,0.9,0.001,2.6666666666666665,62,,6,9.065394873016935e-06,5.90566843128897e-07,5.90566843128897e-07
63,8,2,0.8,8,0.9,0.0001,2.6666666666666665,63,,7,7.5485135437986194e-06,5.716329233014001e-07,5.716329233014001e-07
64,8,2,0.8,8,0.9,1e-05,2.6666666666666665,64,,0,7.23396904405371e-06,5.690526862430805e-07,5.690526862430805e-07
65,8,2,0.8,8,0.9,1e-06,2.6666666666666665,65,,1,6.654972986333121e-06,5.298801417634101e-07,5.298801417634101e-07
