Unnamed: 0,cdens,knum,ksig,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
0,8,2,0.8,8,0.0,0.1,2.6666666666666665,0,,0,2.281610534910667e-05,1.8106733188681028e-06,1.8106733188681028e-06
1,8,2,0.8,8,0.0,0.01,2.6666666666666665,1,,1,1.957025670002546e-05,1.4853557959432712e-06,1.4853557959432712e-06
2,8,2,0.8,8,0.0,0.001,2.6666666666666665,2,,2,1.902136855194487e-05,1.417368618696478e-06,1.417368618696478e-06
3,8,2,0.8,8,0.0,0.0001,2.6666666666666665,3,,3,1.9936757262412892e-05,1.4925354625372626e-06,1.4925354625372626e-06
4,8,2,0.8,8,0.0,1e-05,2.6666666666666665,4,,4,2.0736185644152184e-05,1.5608331246570602e-06,1.5608331246570602e-06
5,8,2,0.8,8,0.0,1e-06,2.6666666666666665,5,,5,2.1329451907292256e-05,1.6114105155682923e-06,1.6114105155682923e-06
6,8,2,0.8,8,0.01,0.1,2.6666666666666665,6,,6,7.104732378550876e-06,4.624796308072828e-07,4.624796308072828e-07
7,8,2,0.8,8,0.01,0.01,2.6666666666666665,7,,7,9.867537287046638e-06,6.364762727708826e-07,6.364762727708826e-07
8,8,2,0.8,8,0.01,0.001,2.6666666666666665,8,,0,1.2081525089914602e-05,7.848102575347306e-07,7.848102575347306e-07
9,8,2,0.8,8,0.01,0.0001,2.6666666666666665,9,,1,1.4240569412101623e-05,9.555652533836058e-07,9.555652533836058e-07
10,8,2,0.8,8,0.01,1e-05,2.6666666666666665,10,,2,1.590296261727709e-05,1.0975726101068261e-06,1.0975726101068261e-06
11,8,2,0.8,8,0.01,1e-06,2.6666666666666665,11,,3,1.714734354835077e-05,1.2073454557287866e-06,1.2073454557287866e-06
12,8,2,0.8,8,0.1,0.1,2.6666666666666665,12,,4,3.7056218975686567e-06,2.4831409907704424e-07,2.4831409907704424e-07
13,8,2,0.8,8,0.1,0.01,2.6666666666666665,13,,5,3.0764537528013296e-06,1.8846992790727435e-07,1.8846992790727435e-07
14,8,2,0.8,8,0.1,0.001,2.6666666666666665,14,,6,3.178834511457802e-06,1.8628666718232158e-07,1.8628666718232158e-07
15,8,2,0.8,8,0.1,0.0001,2.6666666666666665,15,,7,3.278193852813742e-06,2.0007978166170677e-07,2.0007978166170677e-07
16,8,2,0.8,8,0.1,1e-05,2.6666666666666665,16,,0,3.3772532457129954e-06,2.093626681522786e-07,2.093626681522786e-07
17,8,2,0.8,8,0.1,1e-06,2.6666666666666665,17,,1,3.4926175593585902e-06,2.16064071408432e-07,2.16064071408432e-07
18,8,2,0.8,8,0.2,0.1,2.6666666666666665,18,,2,5.922243216609449e-06,3.881789191295664e-07,3.881789191295664e-07
19,8,2,0.8,8,0.2,0.01,2.6666666666666665,19,,3,3.667196315177194e-06,2.7166560311448877e-07,2.7166560311448877e-07
20,8,2,0.8,8,0.2,0.001,2.6666666666666665,20,,4,3.3098415019746683e-06,2.1975124814392238e-07,2.1975124814392238e-07
21,8,2,0.8,8,0.2,0.0001,2.6666666666666665,21,,5,3.3612622130027892e-06,2.037956140025557e-07,2.037956140025557e-07
22,8,2,0.8,8,0.2,1e-05,2.6666666666666665,22,,6,3.4498600904197265e-06,1.987732939505975e-07,1.987732939505975e-07
23,8,2,0.8,8,0.2,1e-06,2.6666666666666665,23,,7,3.510639453261189e-06,1.9885609029152706e-07,1.9885609029152706e-07
24,8,2,0.8,8,0.3,0.1,2.6666666666666665,24,,0,8.1872718966617e-06,5.042976175926059e-07,5.042976175926059e-07
25,8,2,0.8,8,0.3,0.01,2.6666666666666665,25,,1,4.6456289673930205e-06,3.5192425306993936e-07,3.5192425306993936e-07
26,8,2,0.8,8,0.3,0.001,2.6666666666666665,26,,2,3.5654674748714986e-06,2.722253448650286e-07,2.722253448650286e-07
27,8,2,0.8,8,0.3,0.0001,2.6666666666666665,27,,3,3.3183301611508063e-06,2.2760622326960815e-07,2.2760622326960815e-07
28,8,2,0.8,8,0.3,1e-05,2.6666666666666665,28,,4,3.323956459740204e-06,2.0666296413587116e-07,2.0666296413587116e-07
29,8,2,0.8,8,0.3,1e-06,2.6666666666666665,29,,5,3.3855943333388783e-06,1.9785874502172047e-07,1.9785874502172047e-07
30,8,2,0.8,8,0.4,0.1,2.6666666666666665,30,,6,1.0500621981173425e-05,6.222903542222547e-07,6.222903542222547e-07
31,8,2,0.8,8,0.4,0.01,2.6666666666666665,31,,7,5.8393363685662855e-06,4.200483587442245e-07,4.200483587442245e-07
32,8,2,0.8,8,0.4,0.001,2.6666666666666665,32,,0,4.269960112471241e-06,3.3481622547553144e-07,3.3481622547553144e-07
33,8,2,0.8,8,0.4,0.0001,2.6666666666666665,33,,1,3.5051786066011757e-06,2.689743444532999e-07,2.689743444532999e-07
34,8,2,0.8,8,0.4,1e-05,2.6666666666666665,34,,2,3.2814267465113994e-06,2.289079332233901e-07,2.289079332233901e-07
35,8,2,0.8,8,0.4,1e-06,2.6666666666666665,35,,3,3.260493063719469e-06,2.0758807084105404e-07,2.0758807084105404e-07
36,8,2,0.8,8,0.5,0.1,2.6666666666666665,36,,4,1.3086094595166842e-05,7.652049287632834e-07,7.652049287632834e-07
37,8,2,0.8,8,0.5,0.01,2.6666666666666665,37,,5,6.983067439782267e-06,4.812177566055482e-07,4.812177566055482e-07
38,8,2,0.8,8,0.5,0.001,2.6666666666666665,38,,6,5.281790825686207e-06,3.981919249546174e-07,3.981919249546174e-07
39,8,2,0.8,8,0.5,0.0001,2.6666666666666665,39,,7,4.162708981948347e-06,3.2720975931670615e-07,3.2720975931670615e-07
40,8,2,0.8,8,0.5,1e-05,2.6666666666666665,40,,0,3.5081463349862903e-06,2.6998322841027803e-07,2.6998322841027803e-07
41,8,2,0.8,8,0.5,1e-06,2.6666666666666665,41,,1,3.266361079683354e-06,2.3338877354451717e-07,2.3338877354451717e-07
42,8,2,0.8,8,0.6,0.1,2.6666666666666665,42,,2,1.6207198676050064e-05,9.580921387902606e-07,9.580921387902606e-07
43,8,2,0.8,8,0.6,0.01,2.6666666666666665,43,,3,8.081366434093598e-06,5.382293609713908e-07,5.382293609713908e-07
44,8,2,0.8,8,0.6,0.001,2.6666666666666665,44,,4,6.279784254534798e-06,4.643717868415711e-07,4.643717868415711e-07
45,8,2,0.8,8,0.6,0.0001,2.6666666666666665,45,,5,5.156710601863379e-06,3.923030846727435e-07,3.923030846727435e-07
46,8,2,0.8,8,0.6,1e-05,2.6666666666666665,46,,6,4.246466362809655e-06,3.320157292557646e-07,3.320157292557646e-07
47,8,2,0.8,8,0.6,1e-06,2.6666666666666665,47,,7,3.612675320152605e-06,2.8020133875119754e-07,2.8020133875119754e-07
48,8,2,0.8,8,0.7,0.1,2.6666666666666665,48,,0,1.9992773740191324e-05,1.2215200107775799e-06,1.2215200107775799e-06
49,8,2,0.8,8,0.7,0.01,2.6666666666666665,49,,1,9.391102691215168e-06,5.988160930316467e-07,5.988160930316467e-07
50,8,2,0.8,8,0.7,0.001,2.6666666666666665,50,,2,7.200301353496255e-06,5.260092767120074e-07,5.260092767120074e-07
51,8,2,0.8,8,0.7,0.0001,2.6666666666666665,51,,3,6.150102590777898e-06,4.6751605210225786e-07,4.6751605210225786e-07
52,8,2,0.8,8,0.7,1e-05,2.6666666666666665,52,,4,5.2950519123255905e-06,4.038716964168358e-07,4.038716964168358e-07
53,8,2,0.8,8,0.7,1e-06,2.6666666666666665,53,,5,4.53070515457097e-06,3.5105684364884905e-07,3.5105684364884905e-07
54,8,2,0.8,8,0.8,0.1,2.6666666666666665,54,,6,2.4084226101788803e-05,1.5263443978129446e-06,1.5263443978129446e-06
55,8,2,0.8,8,0.8,0.01,2.6666666666666665,55,,7,1.1970226589949853e-05,7.131279112139845e-07,7.131279112139845e-07
56,8,2,0.8,8,0.8,0.001,2.6666666666666665,56,,0,8.000804152526523e-06,5.732343690444204e-07,5.732343690444204e-07
57,8,2,0.8,8,0.8,0.0001,2.6666666666666665,57,,1,7.160231809425595e-06,5.439560461934182e-07,5.439560461934182e-07
58,8,2,0.8,8,0.8,1e-05,2.6666666666666665,58,,2,6.323594332301169e-06,4.905243960267365e-07,4.905243960267365e-07
59,8,2,0.8,8,0.8,1e-06,2.6666666666666665,59,,3,5.694711361246127e-06,4.3999188805646203e-07,4.3999188805646203e-07
60,8,2,0.8,8,0.9,0.1,2.6666666666666665,60,,4,2.7400914498097046e-05,1.7693323089393011e-06,1.7693323089393011e-06
61,8,2,0.8,8,0.9,0.01,2.6666666666666665,61,,5,1.9632929789966717e-05,1.1856224998517856e-06,1.1856224998517856e-06
62,8,2,0.8,8,0.9,0.001,2.6666666666666665,62,,6,9.503418324547794e-06,6.172530394423958e-07,6.172530394423958e-07
63,8,2,0.8,8,0.9,0.0001,2.6666666666666665,63,,7,7.899516992146594e-06,5.938747689727709e-07,5.938747689727709e-07
64,8,2,0.8,8,0.9,1e-05,2.6666666666666665,64,,0,7.567079007220722e-06,5.900879041227458e-07,5.900879041227458e-07
65,8,2,0.8,8,0.9,1e-06,2.6666666666666665,65,,1,6.959402421856836e-06,5.488970840924015e-07,5.488970840924015e-07
66,8,2,0.825,8,0.0,0.1,2.6666666666666665,66,,2,2.298485786572289e-05,1.7942509611186757e-06,1.7942509611186757e-06
67,8,2,0.825,8,0.0,0.01,2.6666666666666665,67,,3,1.927885216346505e-05,1.43208694727641e-06,1.43208694727641e-06
68,8,2,0.825,8,0.0,0.001,2.6666666666666665,68,,4,1.8763582017649343e-05,1.3718716448702544e-06,1.3718716448702544e-06
69,8,2,0.825,8,0.0,0.0001,2.6666666666666665,69,,5,1.978021095730701e-05,1.4635046963581816e-06,1.4635046963581816e-06
70,8,2,0.825,8,0.0,1e-05,2.6666666666666665,70,,6,2.06054093117867e-05,1.54189362235848e-06,1.54189362235848e-06
71,8,2,0.825,8,0.0,1e-06,2.6666666666666665,71,,7,2.1187201462570932e-05,1.5984398956659348e-06,1.5984398956659348e-06
72,8,2,0.825,8,0.01,0.1,2.6666666666666665,72,,0,5.812442056001501e-06,3.3253425890220625e-07,3.3253425890220625e-07
73,8,2,0.825,8,0.01,0.01,2.6666666666666665,73,,1,8.908995377186916e-06,5.365108507539154e-07,5.365108507539154e-07
74,8,2,0.825,8,0.01,0.001,2.6666666666666665,74,,2,1.1491723525208644e-05,7.08073207929289e-07,7.08073207929289e-07
75,8,2,0.825,8,0.01,0.0001,2.6666666666666665,75,,3,1.3909217008828071e-05,9.019539619109579e-07,9.019539619109579e-07
76,8,2,0.825,8,0.01,1e-05,2.6666666666666665,76,,4,1.569736666727848e-05,1.0606673361858043e-06,1.0606673361858043e-06
77,8,2,0.825,8,0.01,1e-06,2.6666666666666665,77,,5,1.6981586655948578e-05,1.1810317883786207e-06,1.1810317883786207e-06
78,8,2,0.825,8,0.1,0.1,2.6666666666666665,78,,6,2.8724175829796405e-06,2.384833014718397e-07,2.384833014718397e-07
79,8,2,0.825,8,0.1,0.01,2.6666666666666665,79,,7,2.5607052415857234e-06,1.3429216492227243e-07,1.3429216492227243e-07
80,8,2,0.825,8,0.1,0.001,2.6666666666666665,80,,0,2.846402572945122e-06,1.2971232040463054e-07,1.2971232040463054e-07
81,8,2,0.825,8,0.1,0.0001,2.6666666666666665,81,,1,3.078315852017208e-06,1.5422693338667003e-07,1.5422693338667003e-07
82,8,2,0.825,8,0.1,1e-05,2.6666666666666665,82,,2,3.2844653081379592e-06,1.7107667158636847e-07,1.7107667158636847e-07
83,8,2,0.825,8,0.1,1e-06,2.6666666666666665,83,,3,3.5010193217635376e-06,1.813185905062768e-07,1.813185905062768e-07
84,8,2,0.825,8,0.2,0.1,2.6666666666666665,84,,4,4.784138420523057e-06,3.6077949337372665e-07,3.6077949337372665e-07
85,8,2,0.825,8,0.2,0.01,2.6666666666666665,85,,5,3.2147776584042018e-06,2.3558589093590004e-07,2.3558589093590004e-07
86,8,2,0.825,8,0.2,0.001,2.6666666666666665,86,,6,2.915557993822362e-06,1.7051267606962323e-07,1.7051267606962323e-07
87,8,2,0.825,8,0.2,0.0001,2.6666666666666665,87,,7,3.0717366646997574e-06,1.5884180127612346e-07,1.5884180127612346e-07
88,8,2,0.825,8,0.2,1e-05,2.6666666666666665,88,,0,3.2522359753409758e-06,1.6135548719338625e-07,1.6135548719338625e-07
89,8,2,0.825,8,0.2,1e-06,2.6666666666666665,89,,1,3.39443835684719e-06,1.6817881478192645e-07,1.6817881478192645e-07
90,8,2,0.825,8,0.3,0.1,2.6666666666666665,90,,2,6.5308406757039865e-06,4.4448283618529633e-07,4.4448283618529633e-07
91,8,2,0.825,8,0.3,0.01,2.6666666666666665,91,,3,4.3748437215189895e-06,3.411709594954414e-07,3.411709594954414e-07
92,8,2,0.825,8,0.3,0.001,2.6666666666666665,92,,4,3.2593586373323413e-06,2.3461942354497866e-07,2.3461942354497866e-07
93,8,2,0.825,8,0.3,0.0001,2.6666666666666665,93,,5,3.0324260010379684e-06,1.8730952859335323e-07,1.8730952859335323e-07
94,8,2,0.825,8,0.3,1e-05,2.6666666666666665,94,,6,3.1021432410885683e-06,1.699923565722376e-07,1.699923565722376e-07
95,8,2,0.825,8,0.3,1e-06,2.6666666666666665,95,,7,3.2251731039059856e-06,1.6654244336773462e-07,1.6654244336773462e-07
96,8,2,0.825,8,0.4,0.1,2.6666666666666665,96,,0,8.066645207480788e-06,5.068387994544714e-07,5.068387994544714e-07
97,8,2,0.825,8,0.4,0.01,2.6666666666666665,97,,1,5.587294841551973e-06,4.3454791128573886e-07,4.3454791128573886e-07
98,8,2,0.825,8,0.4,0.001,2.6666666666666665,98,,2,4.09961495583801e-06,3.1768713402133794e-07,3.1768713402133794e-07
99,8,2,0.825,8,0.4,0.0001,2.6666666666666665,99,,3,3.2787953810247464e-06,2.3606453582367818e-07,2.3606453582367818e-07
100,8,2,0.825,8,0.4,1e-05,2.6666666666666665,100,,4,3.0726492786402725e-06,1.9542796794719336e-07,1.9542796794719336e-07
101,8,2,0.825,8,0.4,1e-06,2.6666666666666665,101,,5,3.096779421963175e-06,1.7744367716181744e-07,1.7744367716181744e-07
102,8,2,0.825,8,0.5,0.1,2.6666666666666665,102,,6,9.65191479168989e-06,5.745975761538197e-07,5.745975761538197e-07
103,8,2,0.825,8,0.5,0.01,2.6666666666666665,103,,7,6.593719154221046e-06,5.056096038044772e-07,5.056096038044772e-07
104,8,2,0.825,8,0.5,0.001,2.6666666666666665,104,,0,5.141782532283133e-06,4.054453166101975e-07,4.054453166101975e-07
105,8,2,0.825,8,0.5,0.0001,2.6666666666666665,105,,1,4.007099799306384e-06,3.1002127042324555e-07,3.1002127042324555e-07
106,8,2,0.825,8,0.5,1e-05,2.6666666666666665,106,,2,3.337428527370232e-06,2.4236312854615633e-07,2.4236312854615633e-07
107,8,2,0.825,8,0.5,1e-06,2.6666666666666665,107,,3,3.1155336441569363e-06,2.055564820040289e-07,2.055564820040289e-07
108,8,2,0.825,8,0.6,0.1,2.6666666666666665,108,,4,1.1700399749535882e-05,6.929394104454431e-07,6.929394104454431e-07
109,8,2,0.825,8,0.6,0.01,2.6666666666666665,109,,5,7.4288157950311595e-06,5.544238233141396e-07,5.544238233141396e-07
110,8,2,0.825,8,0.6,0.001,2.6666666666666665,110,,6,6.10251106798349e-06,4.876626727300435e-07,4.876626727300435e-07
111,8,2,0.825,8,0.6,0.0001,2.6666666666666665,111,,7,4.960035274289386e-06,3.916330714909714e-07,3.916330714909714e-07
112,8,2,0.825,8,0.6,1e-05,2.6666666666666665,112,,0,4.091793265793213e-06,3.179459122845165e-07,3.179459122845165e-07
113,8,2,0.825,8,0.6,1e-06,2.6666666666666665,113,,1,3.4820940653792646e-06,2.581433888005527e-07,2.581433888005527e-07
114,8,2,0.825,8,0.7,0.1,2.6666666666666665,114,,2,1.4781974412978609e-05,9.291400580378722e-07,9.291400580378722e-07
115,8,2,0.825,8,0.7,0.01,2.6666666666666665,115,,3,8.188109722198866e-06,5.821505899822352e-07,5.821505899822352e-07
