mouse_id,mouse_name,set_id,test_set,train_set
0,B1,0,False,True
1,B2,0,False,True
2,B3,0,False,True
3,B4,0,False,True
4,B5,0,False,True
5,B6,0,False,True
6,B7,0,False,True
7,C1,0,False,True
8,C3,0,False,True
9,C6,0,False,True
10,C7,0,False,True
11,C8,0,False,True
12,C9,0,True,False
13,D3,0,False,True
14,D4,0,False,True
15,D5,0,False,True
16,D6,0,True,False
17,D7,0,True,False
18,D8,0,False,True
19,D9,0,True,False
0,B1,1,False,True
1,B2,1,False,True
2,B3,1,True,False
3,B4,1,True,False
4,B5,1,False,True
5,B6,1,False,True
6,B7,1,False,True
7,C1,1,False,True
8,C3,1,False,True
9,C6,1,False,True
10,C7,1,False,True
11,C8,1,False,True
12,C9,1,False,True
13,D3,1,True,False
14,D4,1,False,True
15,D5,1,False,True
16,D6,1,False,True
17,D7,1,False,True
18,D8,1,True,False
19,D9,1,False,True
0,B1,2,True,False
1,B2,2,False,True
2,B3,2,False,True
3,B4,2,False,True
4,B5,2,False,True
5,B6,2,False,True
6,B7,2,False,True
7,C1,2,False,True
8,C3,2,True,False
9,C6,2,True,False
10,C7,2,False,True
11,C8,2,False,True
12,C9,2,False,True
13,D3,2,False,True
14,D4,2,False,True
15,D5,2,True,False
16,D6,2,False,True
17,D7,2,False,True
18,D8,2,False,True
19,D9,2,False,True
0,B1,3,False,True
1,B2,3,False,True
2,B3,3,False,True
3,B4,3,False,True
4,B5,3,False,True
5,B6,3,False,True
6,B7,3,True,False
7,C1,3,True,False
8,C3,3,False,True
9,C6,3,False,True
10,C7,3,True,False
11,C8,3,False,True
12,C9,3,False,True
13,D3,3,False,True
14,D4,3,True,False
15,D5,3,False,True
16,D6,3,False,True
17,D7,3,False,True
18,D8,3,False,True
19,D9,3,False,True
0,B1,4,False,True
1,B2,4,True,False
2,B3,4,False,True
3,B4,4,False,True
4,B5,4,True,False
5,B6,4,True,False
6,B7,4,False,True
7,C1,4,False,True
8,C3,4,False,True
9,C6,4,False,True
10,C7,4,False,True
11,C8,4,True,False
12,C9,4,False,True
13,D3,4,False,True
14,D4,4,False,True
15,D5,4,False,True
16,D6,4,False,True
17,D7,4,False,True
18,D8,4,False,True
19,D9,4,False,True
