,subID,epi,it,simID
0,0,0,798,0
1,1,0,70,0
2,2,0,40,0
3,3,0,198,0
4,4,0,686,0
5,5,0,572,0
6,6,0,422,0
7,7,0,474,0
8,8,0,166,0
9,9,0,192,0
10,10,0,20,0
11,11,0,348,0
12,12,0,96,0
13,13,0,92,0
14,14,0,22,0
15,15,0,334,0
16,16,0,404,0
17,17,0,532,0
18,18,0,376,0
19,19,0,80,0
0,0,0,52,1
1,1,0,178,1
2,2,0,508,1
3,3,0,76,1
4,4,0,256,1
5,5,0,346,1
6,6,0,254,1
7,7,0,118,1
8,8,0,136,1
9,9,0,592,1
10,10,0,296,1
11,11,0,532,1
12,12,0,452,1
13,13,0,70,1
14,14,0,112,1
15,15,0,302,1
16,16,0,250,1
17,17,0,364,1
18,18,0,340,1
19,19,0,328,1
0,0,0,640,2
1,1,0,450,2
2,2,0,792,2
3,3,0,260,2
4,4,0,460,2
5,5,0,90,2
6,6,0,378,2
7,7,0,32,2
8,8,0,174,2
9,9,0,18,2
10,10,0,870,2
11,11,0,652,2
12,12,0,74,2
13,13,0,102,2
14,14,0,290,2
15,15,0,34,2
16,16,0,552,2
17,17,0,324,2
18,18,0,94,2
19,19,0,162,2
0,0,0,316,3
1,1,0,176,3
2,2,0,496,3
3,3,0,464,3
4,4,0,286,3
5,5,0,56,3
6,6,0,226,3
7,7,0,214,3
8,8,0,474,3
9,9,0,378,3
10,10,0,48,3
11,11,0,52,3
12,12,0,324,3
13,13,0,82,3
14,14,0,248,3
15,15,0,46,3
16,16,0,338,3
17,17,0,268,3
18,18,0,278,3
19,19,0,678,3
0,0,0,330,4
1,1,0,436,4
2,2,0,456,4
3,3,0,314,4
4,4,0,412,4
5,5,0,262,4
6,6,0,512,4
7,7,0,132,4
8,8,0,548,4
9,9,0,460,4
10,10,0,480,4
11,11,0,148,4
12,12,0,348,4
13,13,0,332,4
14,14,0,302,4
15,15,0,592,4
16,16,0,168,4
17,17,0,210,4
18,18,0,120,4
19,19,0,438,4
0,0,0,658,5
1,1,0,226,5
2,2,0,328,5
3,3,0,124,5
4,4,0,80,5
5,5,0,140,5
6,6,0,104,5
7,7,0,306,5
8,8,0,96,5
9,9,0,560,5
10,10,0,280,5
11,11,0,344,5
12,12,0,152,5
13,13,0,20,5
14,14,0,80,5
15,15,0,118,5
16,16,0,182,5
17,17,0,56,5
18,18,0,122,5
19,19,0,102,5
0,0,0,608,6
1,1,0,1036,6
2,2,0,172,6
3,3,0,164,6
4,4,0,230,6
5,5,0,534,6
6,6,0,316,6
7,7,0,38,6
8,8,0,266,6
9,9,0,750,6
10,10,0,292,6
11,11,0,84,6
12,12,0,440,6
13,13,0,434,6
14,14,0,220,6
15,15,0,350,6
16,16,0,558,6
17,17,0,80,6
18,18,0,60,6
19,19,0,92,6
0,0,0,792,7
1,1,0,696,7
2,2,0,852,7
3,3,0,652,7
4,4,0,24,7
5,5,0,182,7
6,6,0,68,7
7,7,0,136,7
8,8,0,300,7
9,9,0,262,7
10,10,0,118,7
11,11,0,656,7
12,12,0,110,7
13,13,0,366,7
14,14,0,466,7
15,15,0,228,7
16,16,0,444,7
17,17,0,492,7
18,18,0,36,7
19,19,0,60,7
0,0,0,378,8
1,1,0,46,8
2,2,0,118,8
3,3,0,884,8
4,4,0,26,8
5,5,0,684,8
6,6,0,434,8
7,7,0,180,8
8,8,0,20,8
9,9,0,104,8
10,10,0,618,8
11,11,0,250,8
12,12,0,402,8
13,13,0,242,8
14,14,0,208,8
15,15,0,126,8
16,16,0,272,8
17,17,0,520,8
18,18,0,278,8
19,19,0,80,8
0,0,0,168,9
1,1,0,148,9
2,2,0,190,9
3,3,0,150,9
4,4,0,128,9
5,5,0,302,9
6,6,0,410,9
7,7,0,78,9
8,8,0,60,9
9,9,0,184,9
10,10,0,674,9
11,11,0,532,9
12,12,0,842,9
13,13,0,996,9
14,14,0,34,9
15,15,0,128,9
16,16,0,62,9
17,17,0,382,9
18,18,0,108,9
19,19,0,388,9
0,0,0,394,10
1,1,0,304,10
2,2,0,28,10
3,3,0,720,10
4,4,0,554,10
5,5,0,280,10
6,6,0,296,10
7,7,0,362,10
8,8,0,190,10
9,9,0,308,10
10,10,0,328,10
11,11,0,270,10
12,12,0,714,10
13,13,0,52,10
14,14,0,192,10
15,15,0,138,10
16,16,0,210,10
17,17,0,554,10
18,18,0,640,10
19,19,0,758,10
0,0,0,550,11
1,1,0,390,11
2,2,0,54,11
3,3,0,116,11
4,4,0,244,11
5,5,0,694,11
6,6,0,622,11
7,7,0,120,11
8,8,0,554,11
9,9,0,632,11
10,10,0,224,11
11,11,0,328,11
12,12,0,300,11
13,13,0,92,11
14,14,0,610,11
15,15,0,348,11
16,16,0,402,11
17,17,0,424,11
18,18,0,598,11
19,19,0,474,11
0,0,0,336,12
1,1,0,366,12
2,2,0,216,12
3,3,0,96,12
4,4,0,34,12
5,5,0,184,12
6,6,0,54,12
7,7,0,56,12
8,8,0,326,12
9,9,0,134,12
10,10,0,652,12
11,11,0,496,12
12,12,0,116,12
13,13,0,58,12
14,14,0,216,12
15,15,0,598,12
16,16,0,30,12
17,17,0,76,12
18,18,0,322,12
19,19,0,178,12
0,0,0,186,13
1,1,0,234,13
2,2,0,204,13
3,3,0,350,13
4,4,0,136,13
5,5,0,56,13
6,6,0,534,13
7,7,0,66,13
8,8,0,278,13
9,9,0,286,13
10,10,0,152,13
11,11,0,726,13
12,12,0,62,13
13,13,0,236,13
14,14,0,476,13
15,15,0,200,13
16,16,0,560,13
17,17,0,34,13
18,18,0,232,13
19,19,0,544,13
0,0,0,428,14
1,1,0,234,14
2,2,0,194,14
3,3,0,704,14
4,4,0,446,14
5,5,0,436,14
6,6,0,68,14
7,7,0,312,14
8,8,0,58,14
9,9,0,772,14
10,10,0,128,14
11,11,0,268,14
12,12,0,304,14
13,13,0,32,14
14,14,0,460,14
15,15,0,132,14
16,16,0,302,14
17,17,0,96,14
18,18,0,22,14
19,19,0,126,14
0,0,0,16,15
1,1,0,362,15
2,2,0,784,15
3,3,0,196,15
4,4,0,24,15
5,5,0,368,15
6,6,0,400,15
7,7,0,720,15
8,8,0,80,15
9,9,0,150,15
10,10,0,146,15
11,11,0,122,15
12,12,0,408,15
13,13,0,246,15
14,14,0,488,15
15,15,0,194,15
16,16,0,270,15
17,17,0,176,15
18,18,0,230,15
19,19,0,52,15
0,0,0,176,16
1,1,0,216,16
2,2,0,542,16
3,3,0,190,16
4,4,0,620,16
5,5,0,828,16
6,6,0,26,16
7,7,0,100,16
8,8,0,62,16
9,9,0,148,16
10,10,0,556,16
11,11,0,100,16
12,12,0,368,16
13,13,0,682,16
14,14,0,38,16
15,15,0,86,16
16,16,0,114,16
17,17,0,438,16
18,18,0,48,16
19,19,0,84,16
0,0,0,346,17
1,1,0,96,17
2,2,0,72,17
3,3,0,110,17
4,4,0,56,17
5,5,0,480,17
6,6,0,408,17
7,7,0,132,17
8,8,0,454,17
9,9,0,402,17
10,10,0,364,17
11,11,0,392,17
12,12,0,400,17
13,13,0,44,17
14,14,0,128,17
15,15,0,172,17
16,16,0,590,17
17,17,0,380,17
18,18,0,24,17
19,19,0,354,17
0,0,0,124,18
1,1,0,56,18
2,2,0,308,18
3,3,0,610,18
4,4,0,286,18
5,5,0,216,18
6,6,0,252,18
7,7,0,782,18
8,8,0,178,18
9,9,0,612,18
10,10,0,628,18
