,subID,epi,it,simID
0,0,0,832,0
1,1,0,116,0
2,2,0,782,0
3,3,0,76,0
4,4,0,440,0
5,5,0,46,0
6,6,0,514,0
7,7,0,74,0
8,8,0,46,0
9,9,0,558,0
10,10,0,174,0
11,11,0,274,0
12,12,0,396,0
13,13,0,324,0
14,14,0,170,0
15,15,0,458,0
16,16,0,236,0
17,17,0,606,0
18,18,0,430,0
19,19,0,804,0
0,0,0,314,1
1,1,0,462,1
2,2,0,334,1
3,3,0,76,1
4,4,0,396,1
5,5,0,356,1
6,6,0,1442,1
7,7,0,134,1
8,8,0,492,1
9,9,0,168,1
10,10,0,466,1
11,11,0,840,1
12,12,0,142,1
13,13,0,94,1
14,14,0,1278,1
15,15,0,302,1
16,16,0,626,1
17,17,0,176,1
18,18,0,150,1
19,19,0,1126,1
0,0,0,770,2
1,1,0,1048,2
2,2,0,150,2
3,3,0,446,2
4,4,0,136,2
5,5,0,712,2
6,6,0,126,2
7,7,0,62,2
8,8,0,392,2
9,9,0,18,2
10,10,0,926,2
11,11,0,134,2
12,12,0,168,2
13,13,0,270,2
14,14,0,642,2
15,15,0,178,2
16,16,0,474,2
17,17,0,830,2
18,18,0,142,2
19,19,0,40,2
0,0,0,982,3
1,1,0,168,3
2,2,0,888,3
3,3,0,550,3
4,4,0,202,3
5,5,0,810,3
6,6,0,560,3
7,7,0,154,3
8,8,0,686,3
9,9,0,534,3
10,10,0,48,3
11,11,0,416,3
12,12,0,1414,3
13,13,0,582,3
14,14,0,442,3
15,15,0,68,3
16,16,0,274,3
17,17,0,610,3
18,18,0,246,3
19,19,0,1710,3
0,0,0,156,4
1,1,0,512,4
2,2,0,270,4
3,3,0,108,4
4,4,0,334,4
5,5,0,236,4
6,6,0,186,4
7,7,0,2108,4
8,8,0,196,4
9,9,0,1072,4
10,10,0,126,4
11,11,0,488,4
12,12,0,1392,4
13,13,0,606,4
14,14,0,588,4
15,15,0,566,4
16,16,0,592,4
17,17,0,228,4
18,18,0,550,4
19,19,0,1174,4
0,0,0,44,5
1,1,0,560,5
2,2,0,184,5
3,3,0,66,5
4,4,0,342,5
5,5,0,498,5
6,6,0,688,5
7,7,0,222,5
8,8,0,852,5
9,9,0,308,5
10,10,0,104,5
11,11,0,1094,5
12,12,0,194,5
13,13,0,20,5
14,14,0,70,5
15,15,0,446,5
16,16,0,698,5
17,17,0,56,5
18,18,0,1504,5
19,19,0,102,5
0,0,0,1184,6
1,1,0,1020,6
2,2,0,240,6
3,3,0,40,6
4,4,0,1052,6
5,5,0,380,6
6,6,0,94,6
7,7,0,1164,6
8,8,0,236,6
9,9,0,670,6
10,10,0,144,6
11,11,0,832,6
12,12,0,214,6
13,13,0,510,6
14,14,0,176,6
15,15,0,42,6
16,16,0,270,6
17,17,0,786,6
18,18,0,78,6
19,19,0,738,6
0,0,0,122,7
1,1,0,360,7
2,2,0,2844,7
3,3,0,734,7
4,4,0,162,7
5,5,0,382,7
6,6,0,154,7
7,7,0,54,7
8,8,0,1456,7
9,9,0,288,7
10,10,0,38,7
11,11,0,44,7
12,12,0,370,7
13,13,0,56,7
14,14,0,724,7
15,15,0,226,7
16,16,0,96,7
17,17,0,294,7
18,18,0,88,7
19,19,0,218,7
0,0,0,34,8
1,1,0,334,8
2,2,0,246,8
3,3,0,1304,8
4,4,0,26,8
5,5,0,82,8
6,6,0,612,8
7,7,0,628,8
8,8,0,20,8
9,9,0,300,8
10,10,0,1232,8
11,11,0,78,8
12,12,0,908,8
13,13,0,944,8
14,14,0,976,8
15,15,0,522,8
16,16,0,672,8
17,17,0,746,8
18,18,0,752,8
19,19,0,654,8
0,0,0,676,9
1,1,0,704,9
2,2,0,38,9
3,3,0,156,9
4,4,0,572,9
5,5,0,804,9
6,6,0,66,9
7,7,0,206,9
8,8,0,594,9
9,9,0,448,9
10,10,0,842,9
11,11,0,640,9
12,12,0,150,9
13,13,0,1002,9
14,14,0,34,9
15,15,0,984,9
16,16,0,40,9
17,17,0,78,9
18,18,0,628,9
19,19,0,804,9
0,0,0,1096,10
1,1,0,1166,10
2,2,0,130,10
3,3,0,726,10
4,4,0,162,10
5,5,0,256,10
6,6,0,1450,10
7,7,0,224,10
8,8,0,806,10
9,9,0,194,10
10,10,0,344,10
11,11,0,48,10
12,12,0,62,10
13,13,0,320,10
14,14,0,174,10
15,15,0,78,10
16,16,0,620,10
17,17,0,732,10
18,18,0,1208,10
19,19,0,622,10
0,0,0,66,11
1,1,0,98,11
2,2,0,70,11
3,3,0,38,11
4,4,0,924,11
5,5,0,268,11
6,6,0,502,11
7,7,0,388,11
8,8,0,754,11
9,9,0,776,11
10,10,0,980,11
11,11,0,1262,11
12,12,0,258,11
13,13,0,134,11
14,14,0,262,11
15,15,0,708,11
16,16,0,340,11
17,17,0,256,11
18,18,0,572,11
19,19,0,474,11
0,0,0,374,12
1,1,0,240,12
2,2,0,352,12
3,3,0,70,12
4,4,0,584,12
5,5,0,204,12
6,6,0,944,12
7,7,0,318,12
8,8,0,354,12
9,9,0,238,12
10,10,0,144,12
11,11,0,840,12
12,12,0,396,12
13,13,0,840,12
14,14,0,1866,12
15,15,0,436,12
16,16,0,248,12
17,17,0,70,12
18,18,0,298,12
19,19,0,340,12
0,0,0,620,13
1,1,0,438,13
2,2,0,794,13
3,3,0,744,13
4,4,0,2204,13
5,5,0,66,13
6,6,0,444,13
7,7,0,798,13
8,8,0,104,13
9,9,0,164,13
10,10,0,544,13
11,11,0,942,13
12,12,0,174,13
13,13,0,586,13
14,14,0,458,13
15,15,0,782,13
16,16,0,492,13
17,17,0,62,13
18,18,0,58,13
19,19,0,1184,13
0,0,0,176,14
1,1,0,914,14
2,2,0,1048,14
3,3,0,488,14
4,4,0,136,14
5,5,0,486,14
6,6,0,72,14
7,7,0,372,14
8,8,0,110,14
9,9,0,748,14
10,10,0,188,14
11,11,0,880,14
12,12,0,498,14
13,13,0,712,14
14,14,0,150,14
15,15,0,104,14
16,16,0,234,14
17,17,0,1078,14
18,18,0,908,14
19,19,0,604,14
0,0,0,390,15
1,1,0,222,15
2,2,0,1268,15
3,3,0,582,15
4,4,0,208,15
5,5,0,472,15
6,6,0,390,15
7,7,0,822,15
8,8,0,62,15
9,9,0,1206,15
10,10,0,96,15
11,11,0,720,15
12,12,0,82,15
13,13,0,636,15
14,14,0,1320,15
15,15,0,1436,15
16,16,0,818,15
17,17,0,982,15
18,18,0,192,15
19,19,0,102,15
0,0,0,494,16
1,1,0,248,16
2,2,0,1706,16
3,3,0,734,16
4,4,0,242,16
5,5,0,1516,16
6,6,0,338,16
7,7,0,352,16
8,8,0,82,16
9,9,0,44,16
10,10,0,218,16
11,11,0,146,16
12,12,0,74,16
13,13,0,208,16
14,14,0,38,16
15,15,0,1594,16
16,16,0,238,16
17,17,0,842,16
18,18,0,1246,16
19,19,0,344,16
0,0,0,698,17
1,1,0,58,17
2,2,0,440,17
3,3,0,900,17
4,4,0,214,17
5,5,0,1198,17
6,6,0,1066,17
7,7,0,72,17
8,8,0,380,17
9,9,0,68,17
10,10,0,588,17
11,11,0,200,17
12,12,0,918,17
13,13,0,446,17
14,14,0,330,17
15,15,0,902,17
16,16,0,112,17
17,17,0,314,17
18,18,0,184,17
19,19,0,2122,17
0,0,0,580,18
1,1,0,24,18
2,2,0,88,18
3,3,0,144,18
4,4,0,148,18
5,5,0,320,18
6,6,0,144,18
7,7,0,686,18
8,8,0,540,18
9,9,0,668,18
10,10,0,632,18
11,11,0,120,18
12,12,0,492,18
13,13,0,644,18
14,14,0,224,18
15,15,0,538,18
16,16,0,216,18
17,17,0,476,18
18,18,0,312,18
19,19,0,270,18
0,0,0,662,19
1,1,0,1486,19
2,2,0,976,19
3,3,0,560,19
4,4,0,558,19
5,5,0,242,19
6,6,0,244,19
7,7,0,412,19
8,8,0,712,19
9,9,0,514,19
10,10,0,168,19
11,11,0,1002,19
12,12,0,404,19
13,13,0,46,19
14,14,0,80,19
15,15,0,998,19
16,16,0,122,19
17,17,0,136,19
18,18,0,290,19
19,19,0,160,19
