n_im,nt,nt,nt,nt_norm,nt_norm,nt_norm,steady,steady,steady,sample_id,parent_id,perm_id,rotate,ksim
,mean,std,sem,mean,std,sem,mean,std,sem,,,,,
3,1.4526506681522824,,,0.02297595364863647,,,1.429674714503646,,,0,12345,0,0.0,0.28868679127047286
6,1.3859729308014068,,,-0.8346198158686948,,,2.2205927466701016,,,0,12345,0,0.0,0.28868679127047286
9,1.3633103852958495,,,-1.4175563897832706,,,2.78086677507912,,,0,12345,0,0.0,0.28868679127047286
12,1.3526146392811118,,,-1.8911954621156586,,,3.2438101013967704,,,0,12345,0,0.0,0.28868679127047286
3,6.14843852338533,,,4.718763808881684,,,1.429674714503646,,,0,12345,0,1.5707963267948966,0.028782830246681018
6,6.58674114103932,,,4.366148394369218,,,2.2205927466701016,,,0,12345,0,1.5707963267948966,0.028782830246681018
9,6.79358778192913,,,4.012721006850009,,,2.78086677507912,,,0,12345,0,1.5707963267948966,0.028782830246681018
12,6.905917322274702,,,3.6621072208779313,,,3.2438101013967704,,,0,12345,0,1.5707963267948966,0.028782830246681018
3,6.6592428061151505,,,5.229568091611505,,,1.429674714503646,,,0,12345,0,1.5990706606772047,0.02775851301179275
6,7.557051605733121,,,5.336458859063019,,,2.2205927466701016,,,0,12345,0,1.5990706606772047,0.02775851301179275
9,8.12615292152846,,,5.3452861464493395,,,2.78086677507912,,,0,12345,0,1.5990706606772047,0.02775851301179275
12,8.49804024142722,,,5.254230140030449,,,3.2438101013967704,,,0,12345,0,1.5990706606772047,0.02775851301179275
3,7.4492169256209175,,,6.019542211117272,,,1.429674714503646,,,0,12345,0,1.8849555921538759,0.025709428826417705
6,9.061748862081553,,,6.841156115411451,,,2.2205927466701016,,,0,12345,0,1.8849555921538759,0.025709428826417705
9,10.322673819425598,,,7.541807044346477,,,2.78086677507912,,,0,12345,0,1.8849555921538759,0.025709428826417705
12,11.296384294983078,,,8.052574193586308,,,3.2438101013967704,,,0,12345,0,1.8849555921538759,0.025709428826417705
3,10.347012596209952,,,8.917337881706306,,,1.429674714503646,,,0,12345,0,3.141592653589793,2.6982786226110566e-06
6,16.036396209287204,,,13.815803462617103,,,2.2205927466701016,,,0,12345,0,3.141592653589793,2.6982786226110566e-06
9,21.725726608847694,,,18.944859833768575,,,2.78086677507912,,,0,12345,0,3.141592653589793,2.6982786226110566e-06
12,27.41498391304701,,,24.171173811650238,,,3.2438101013967704,,,0,12345,0,3.141592653589793,2.6982786226110566e-06
